bodyweight,brainweight
1.0,1.0
1.495342271823168E-4,0.001130980101052897
5.079655154534982E-4,0.007766296792988624
1.375113747455476E-4,9.734132139093047E-4
0.3827768130273618,0.8058425801752844
0.0015847622368216387,0.0314013298645275
2.7051417982730673E-6,2.801189104774977E-5
0.024044953445261082,0.029563049514518918
4.95191234739431E-4,0.004457392162973183
0.007838148360496212,0.07700818997664509
6.311997529303824E-5,0.0010959652372432098
0.06988207836044362,0.07403192655282168
8.190568222549011E-5,3.956679610494655E-4
0.028117694708216644,0.07333162927662794
1.051999588217304E-5,1.8557877819134225E-4
4.501055381015465E-4,0.0043523475715441205
1.172228112584996E-4,5.882497120027452E-4
2.93057028146249E-5,8.508611905753994E-4
2.111513459207589E-4,0.00303929017868085
0.009016387899299594,0.01415650943825654
0.07950036030985896,0.11902602654826976
0.00415614980173565,0.020109036285903367
1.728285037785571E-5,1.5056391438165502E-4
0.03110837925186298,0.07105566312899826
0.012773529285789967,0.056874643286074944
0.00545912643457051,0.02089687072162133
1.4427422924123027E-5,6.757868715269632E-4
1.555456534007014E-4,9.383983500996174E-4
0.07829807506618204,0.11464916857205885
0.01502781411768419,0.027462157685937686
0.005259246512809222,0.009779651462045638
0.0,0.0
7.514282772980744E-7,1.9258175095327964E-5
0.009316959210218823,0.2310735907392688
1.7583421688774937E-5,5.007125524785272E-4
2.0213420659318201E-4,0.0013935915796255511
2.7051417982730673E-6,4.551932295259338E-5
6.46228318476344E-6,3.326412061920286E-5
2.547341860040472E-4,0.0010784578053383662
5.25248365831354E-4,0.0018662922410563286
0.03757066243662642,0.08576190592906689
7.138568634331705E-5,0.002689141540583978
0.0015021051263188505,0.020109036285903367
2.4271133356727805E-4,0.0019713368324853903
0.028854094419968758,0.031488867024051716
3.749627103717391E-4,0.002093888855819295
6.436734623335305E-4,0.006838402902031913
4.132855525139409E-5,3.081308015252474E-4
6.357083225941709E-4,0.008799235275374396
0.001021191028848083,0.03131379270500328
1.1196281331741307E-4,0.002128903719628983
5.402769313773155E-4,0.0036520502953503765
0.00222798484218879,0.01716778772588964
0.008340102449731327,0.030613495428809534
2.0964848936616274E-4,0.0021639185834386697
8.265711050278818E-6,1.5056391438165502E-4
1.345056616363553E-4,4.306828248591527E-4
2.9981988264193165E-4,0.002128903719628983
1.487827989050187E-5,4.131753929543091E-4
6.289454680984883E-4,0.01012980010014251
5.25248365831354E-4,6.582794396221196E-4
6.079054763341421E-4,0.002951753019156632
