StateCode,GroupCode,State,Group,NonInstitutionalPopulation,LaborForceNumber,PercentOfPopulation,EmploymentNumber,EmploymentPercentOfPopulation,UnemploymentNumber,UnemploymentRate
01,01,Alabama,Total,"3,521    ","2,179    ",61.9    ,"2,086    ",59.2    ,92    ,4.2    
01,02,Alabama,Men,"1,672    ","1,172    ",70.1    ,"1,127    ",67.4    ,45    ,3.8    
01,03,Alabama,Women,"1,850    ","1,007    ",54.5    ,960    ,51.9    ,48    ,4.7    
01,04,Alabama,White,"2,554    ","1,612    ",63.1    ,"1,563    ",61.2    ,50    ,3.1    
01,05,Alabama,"White, men","1,243    ",902    ,72.6    ,878    ,70.7    ,24    ,2.6    
01,06,Alabama,"White, women","1,311    ",710    ,54.2    ,684    ,52.2    ,26    ,3.7    
01,07,Alabama,Black or African American,862    ,497    ,57.6    ,456    ,52.9    ,41    ,8.2    
01,08,Alabama,"Black or African American, men",377    ,234    ,61.9    ,213    ,56.5    ,20    ,8.7    
01,09,Alabama,"Black or African American, women",485    ,263    ,54.3    ,243    ,50.1    ,20    ,7.7    
01,16,Alabama,"Married men, spouse present",964    ,737    ,76.5    ,725    ,75.3    ,12    ,1.7    
01,17,Alabama,"Married women, spouse present",957    ,573    ,59.9    ,560    ,58.5    ,13    ,2.3    
01,18,Alabama,Women who maintain families,251    ,161    ,64.2    ,150    ,59.9    ,11    ,6.6    
01,19,Alabama,"Total, 16 to 19 years",242    ,93    ,38.4    ,73    ,30.1    ,20    ,21.5    
01,20,Alabama,"Total, 20 to 24 years",321    ,211    ,65.8    ,194    ,60.5    ,17    ,8.1    
01,21,Alabama,"Total, 25 to 34 years",615    ,501    ,81.4    ,480    ,78.1    ,21    ,4.2    
01,22,Alabama,"Total, 35 to 44 years",617    ,507    ,82.1    ,495    ,80.2    ,12    ,2.3    
01,23,Alabama,"Total, 45 to 54 years",706    ,536    ,75.9    ,523    ,74.1    ,13    ,2.4    
01,24,Alabama,"Total, 55 to 64 years",473    ,267    ,56.3    ,258    ,54.5    ,9    ,3.3    
01,25,Alabama,"Total, 65 years and over",547    ,65    ,11.8    ,64    ,11.6    ,1    ,1.9    
01,27,Alabama,"Men, 20 to 24 years",169    ,118    ,70.1    ,110    ,65.0    ,9    ,7.3    
01,28,Alabama,"Men, 25 to 34 years",300    ,269    ,89.7    ,261    ,87.0    ,8    ,3.0    
01,29,Alabama,"Men, 35 to 44 years",294    ,270    ,91.9    ,266    ,90.7    ,4    ,1.4    
01,30,Alabama,"Men, 45 to 54 years",332    ,282    ,85.0    ,274    ,82.6    ,8    ,2.8    
01,31,Alabama,"Men, 55 to 64 years",236    ,151    ,63.8    ,146    ,61.9    ,4    ,3.0    
01,34,Alabama,"Women, 20 to 24 years",152    ,93    ,60.9    ,84    ,55.4    ,8    ,9.0    
01,35,Alabama,"Women, 25 to 34 years",315    ,232    ,73.5    ,219    ,69.5    ,13    ,5.4    
01,36,Alabama,"Women, 35 to 44 years",324    ,237    ,73.2    ,229    ,70.7    ,8    ,3.4    
01,37,Alabama,"Women, 45 to 54 years",374    ,254    ,67.9    ,249    ,66.6    ,5    ,1.9    
01,38,Alabama,"Women, 55 to 64 years",237    ,116    ,48.9    ,112    ,47.0    ,4    ,3.8    
01,40,Alabama,"White, 16 to 19 years",151    ,66    ,43.4    ,56    ,37.0    ,10    ,14.9    
01,41,Alabama,"White, 20 to 24 years",210    ,150    ,71.3    ,142    ,67.8    ,7    ,4.9    
01,42,Alabama,"White, 25 to 34 years",412    ,339    ,82.2    ,329    ,79.9    ,10    ,2.8    
01,43,Alabama,"White, 35 to 44 years",462    ,385    ,83.4    ,377    ,81.7    ,8    ,2.0    
01,44,Alabama,"White, 45 to 54 years",524    ,409    ,78.1    ,400    ,76.3    ,9    ,2.3    
01,45,Alabama,"White, 55 to 64 years",364    ,212    ,58.3    ,207    ,56.8    ,5    ,2.4    
01,46,Alabama,"White, 65 years and over",431    ,52    ,12.1    ,51    ,11.9    ,1    ,1.4    
01,48,Alabama,"Black or African American, 20 to 24 years",102    ,55    ,53.8    ,45    ,44.7    ,9    ,17.0    
01,49,Alabama,"Black or African American, 25 to 34 years",171    ,140    ,82.0    ,130    ,75.8    ,11    ,7.6    
01,50,Alabama,"Black or African American, 35 to 44 years",138    ,108    ,77.8    ,104    ,75.1    ,4    ,3.6    
01,51,Alabama,"Black or African American, 45 to 54 years",165    ,115    ,69.7    ,111    ,67.7    ,3    ,3.0    
02,01,Alaska,Total,473    ,341    ,72.1    ,318    ,67.3    ,23    ,6.7    
02,02,Alaska,Men,236    ,182    ,77.2    ,169    ,71.3    ,14    ,7.6    
02,03,Alaska,Women,237    ,158    ,66.9    ,150    ,63.2    ,9    ,5.6    
02,04,Alaska,White,364    ,268    ,73.6    ,253    ,69.6    ,15    ,5.4    
02,05,Alaska,"White, men",185    ,145    ,78.5    ,136    ,73.6    ,9    ,6.2    
02,06,Alaska,"White, women",178    ,122    ,68.5    ,117    ,65.4    ,6    ,4.5    
02,07,Alaska,Black or African American,13    ,10    ,79.0    ,9    ,72.2    ,1    ,8.6    
02,08,Alaska,"Black or African American, men",6    ,5    ,85.3    ,5    ,78.8    ,( 3 ),7.6    
02,09,Alaska,"Black or African American, women",6    ,5    ,73.2    ,4    ,66.1    ,( 3 ),9.7    
02,10,Alaska,Asian,25    ,16    ,64.8    ,15    ,61.2    ,1    ,5.5    
02,11,Alaska,"Asian, men",11    ,8    ,74.8    ,8    ,72.2    ,( 3 ),3.5    
02,12,Alaska,"Asian, women",14    ,8    ,57.4    ,8    ,53.1    ,1    ,7.4    
02,13,Alaska,Hispanic or Latino ethnicity,20    ,16    ,79.6    ,15    ,73.7    ,1    ,7.5    
02,14,Alaska,"Hispanic or Latino ethnicity, men",10    ,8    ,85.4    ,8    ,77.4    ,1    ,9.3    
02,15,Alaska,"Hispanic or Latino ethnicity, women",10    ,7    ,73.9    ,7    ,69.9    ,( 3 ),5.4    
