StateCode	GroupCode	State	Group	NonInstitutionalPopulation	LaborForceNumber	PercentOfPopulation	EmploymentNumber	EmploymentPercentOfPopulation	UnemploymentNumber	UnemploymentRate
1	1	Alabama	Total	"3,767"	"2,185"	58	"2,034"	54	151	6.9
1	2	Alabama	Men	"1,787"	"1,136"	63.6	"1,057"	59.2	79	7
1	3	Alabama	Women	"1,981"	"1,048"	52.9	977	49.3	71	6.8
1	4	Alabama	White	"2,717"	"1,628"	59.9	"1,543"	56.8	86	5.3
1	5	Alabama	"White, men"	"1,315"	888	67.5	840	63.9	48	5.4
1	6	Alabama	"White, women"	"1,401"	740	52.8	702	50.1	38	5.1
1	7	Alabama	Black or African American	945	492	52	432	45.7	60	12.1
1	8	Alabama	"Black or African American, men"	418	211	50.6	182	43.5	30	14
1	9	Alabama	"Black or African American, women"	528	280	53.1	250	47.4	30	10.7
1	13	Alabama	Hispanic or Latino ethnicity	125	84	67.4	79	63.4	5	6
1	14	Alabama	"Hispanic or Latino ethnicity, men"	71	58	81.1	57	79.3	1	2.3
1	16	Alabama	"Married men, spouse present"	975	667	68.5	645	66.1	23	3.4
1	17	Alabama	"Married women, spouse present"	981	548	55.8	530	54	18	3.3
1	18	Alabama	Women who maintain families	270	161	59.6	142	52.6	19	11.7
1	19	Alabama	"Total, 16 to 19 years"	238	68	28.4	52	21.7	16	23.6
1	20	Alabama	"Total, 20 to 24 years"	357	251	70.2	215	60.3	36	14.2
1	21	Alabama	"Total, 25 to 34 years"	575	452	78.6	412	71.7	40	8.7
1	22	Alabama	"Total, 35 to 44 years"	627	476	75.9	453	72.2	23	4.9
1	23	Alabama	"Total, 45 to 54 years"	628	458	73	437	69.7	21	4.6
1	24	Alabama	"Total, 55 to 64 years"	673	368	54.6	356	52.9	12	3.2
1	25	Alabama	"Total, 65 years and over"	668	112	16.7	108	16.2	4	3.3
1	27	Alabama	"Men, 20 to 24 years"	183	139	76	118	64.7	21	15
1	28	Alabama	"Men, 25 to 34 years"	266	227	85.3	211	79.2	16	7.2
1	29	Alabama	"Men, 35 to 44 years"	306	252	82.4	241	78.9	11	4.3
1	30	Alabama	"Men, 45 to 54 years"	294	229	77.9	217	73.8	12	5.3
1	31	Alabama	"Men, 55 to 64 years"	317	191	60.2	183	57.8	8	4.1
1	32	Alabama	"Men, 65 years and over"	301	67	22.1	65	21.7	1	1.9
1	33	Alabama	"Women, 16 to 19 years"	118	35	30	30	25.3	6	15.6
1	34	Alabama	"Women, 20 to 24 years"	175	112	64.2	97	55.7	15	13.2
1	35	Alabama	"Women, 25 to 34 years"	309	225	72.8	202	65.3	23	10.3
1	36	Alabama	"Women, 35 to 44 years"	322	225	69.8	212	65.9	12	5.6
1	37	Alabama	"Women, 45 to 54 years"	334	229	68.7	221	66.1	9	3.9
1	38	Alabama	"Women, 55 to 64 years"	356	176	49.6	173	48.5	4	2.2
1	39	Alabama	"Women, 65 years and over"	368	45	12.3	43	11.7	2	5.4
1	40	Alabama	"White, 16 to 19 years"	142	50	35.6	42	29.6	8	16.8
1	41	Alabama	"White, 20 to 24 years"	226	176	77.7	158	69.6	18	10.4
1	42	Alabama	"White, 25 to 34 years"	417	334	80.2	311	74.7	23	6.8
