StateCode,GroupCode,State,Group,NonInstitutionalPopulation,LaborForceNumber,PercentOfPopulation,EmploymentNumber,EmploymentPercentOfPopulation,UnemploymentNumber,UnemploymentRate
01,01,Alabama,Total,"3,542    ","2,201    ",62.1    ,"2,110    ",59.6    ,91    ,4.1    
01,02,Alabama,Men,"1,683    ","1,174    ",69.8    ,"1,128    ",67.0    ,46    ,3.9    
01,03,Alabama,Women,"1,859    ","1,027    ",55.2    ,982    ,52.8    ,45    ,4.4    
01,04,Alabama,White,"2,587    ","1,633    ",63.1    ,"1,584    ",61.2    ,49    ,3.0    
01,05,Alabama,"White, men","1,261    ",917    ,72.8    ,895    ,71.0    ,23    ,2.5    
01,06,Alabama,"White, women","1,327    ",715    ,53.9    ,689    ,52.0    ,26    ,3.7    
01,07,Alabama,Black or African American,872    ,514    ,59.0    ,476    ,54.6    ,38    ,7.5    
01,08,Alabama,"Black or African American, men",385    ,230    ,59.7    ,209    ,54.3    ,21    ,9.1    
01,09,Alabama,"Black or African American, women",487    ,285    ,58.4    ,267    ,54.8    ,18    ,6.2    
01,13,Alabama,Hispanic or Latino ethnicity,71    ,53    ,74.5    ,52    ,73.7    ,1    ,1.1    
01,16,Alabama,"Married men, spouse present",949    ,707    ,74.5    ,695    ,73.3    ,12    ,1.7    
01,17,Alabama,"Married women, spouse present",908    ,538    ,59.2    ,522    ,57.5    ,16    ,2.9    
01,18,Alabama,Women who maintain families,267    ,170    ,63.5    ,159    ,59.6    ,10    ,6.1    
01,19,Alabama,"Total, 16 to 19 years",224    ,83    ,37.2    ,71    ,31.8    ,12    ,14.5    
01,20,Alabama,"Total, 20 to 24 years",339    ,243    ,71.8    ,225    ,66.4    ,18    ,7.6    
01,21,Alabama,"Total, 25 to 34 years",625    ,508    ,81.2    ,484    ,77.4    ,24    ,4.7    
01,22,Alabama,"Total, 35 to 44 years",597    ,490    ,82.0    ,474    ,79.4    ,15    ,3.2    
01,23,Alabama,"Total, 45 to 54 years",665    ,488    ,73.4    ,476    ,71.6    ,12    ,2.5    
01,24,Alabama,"Total, 55 to 64 years",507    ,305    ,60.2    ,299    ,59.1    ,6    ,1.9    
01,25,Alabama,"Total, 65 years and over",585    ,84    ,14.4    ,81    ,13.8    ,3    ,4.1    
01,27,Alabama,"Men, 20 to 24 years",164    ,126    ,77.0    ,118    ,72.2    ,8    ,6.3    
01,28,Alabama,"Men, 25 to 34 years",318    ,285    ,89.7    ,272    ,85.4    ,14    ,4.8    
01,29,Alabama,"Men, 35 to 44 years",290    ,259    ,89.3    ,253    ,87.0    ,7    ,2.6    
01,30,Alabama,"Men, 45 to 54 years",318    ,256    ,80.5    ,250    ,78.7    ,6    ,2.3    
01,31,Alabama,"Men, 55 to 64 years",237    ,159    ,66.8    ,155    ,65.4    ,3    ,2.1    
01,34,Alabama,"Women, 20 to 24 years",175    ,117    ,67.0    ,107    ,60.9    ,11    ,9.0    
01,35,Alabama,"Women, 25 to 34 years",307    ,222    ,72.3    ,212    ,69.0    ,10    ,4.6    
01,36,Alabama,"Women, 35 to 44 years",307    ,230    ,75.0    ,222    ,72.1    ,9    ,3.8    
01,37,Alabama,"Women, 45 to 54 years",347    ,232    ,66.8    ,226    ,65.0    ,6    ,2.6    
01,38,Alabama,"Women, 55 to 64 years",270    ,147    ,54.4    ,144    ,53.5    ,2    ,1.6    
01,40,Alabama,"White, 16 to 19 years",148    ,60    ,40.3    ,52    ,34.8    ,8    ,13.8    
01,41,Alabama,"White, 20 to 24 years",227    ,174    ,76.5    ,164    ,72.1    ,10    ,5.7    
01,42,Alabama,"White, 25 to 34 years",438    ,354    ,80.8    ,342    ,78.2    ,12    ,3.3    
01,43,Alabama,"White, 35 to 44 years",432    ,363    ,84.0    ,356    ,82.4    ,7    ,1.9    
01,44,Alabama,"White, 45 to 54 years",478    ,361    ,75.5    ,355    ,74.3    ,6    ,1.6    
01,45,Alabama,"White, 55 to 64 years",396    ,252    ,63.5    ,247    ,62.4    ,5    ,1.8    
01,46,Alabama,"White, 65 years and over",468    ,70    ,14.9    ,68    ,14.5    ,2    ,2.6    
01,48,Alabama,"Black or African American, 20 to 24 years",103    ,63    ,61.5    ,55    ,53.7    ,8    ,12.7    
01,49,Alabama,"Black or African American, 25 to 34 years",172    ,140    ,81.2    ,128    ,74.5    ,12    ,8.3    
01,50,Alabama,"Black or African American, 35 to 44 years",154    ,118    ,76.3    ,110    ,71.4    ,8    ,6.5    
01,51,Alabama,"Black or African American, 45 to 54 years",167    ,115    ,69.1    ,110    ,66.0    ,5    ,4.6    
02,01,Alaska,Total,485    ,349    ,71.9    ,324    ,67.0    ,24    ,6.9    
02,02,Alaska,Men,242    ,187    ,77.1    ,172    ,70.9    ,15    ,8.0    
02,03,Alaska,Women,242    ,162    ,66.8    ,153    ,63.0    ,9    ,5.7    
02,04,Alaska,White,369    ,272    ,73.7    ,258    ,69.8    ,14    ,5.3    
02,05,Alaska,"White, men",188    ,148    ,78.6    ,139    ,74.0    ,9    ,5.9    
02,06,Alaska,"White, women",181    ,124    ,68.5    ,118    ,65.4    ,6    ,4.5    
02,07,Alaska,Black or African American,14    ,11    ,75.5    ,10    ,67.6    ,1    ,10.5    
02,08,Alaska,"Black or African American, men",6    ,5    ,79.4    ,4    ,65.7    ,1    ,17.2    
02,09,Alaska,"Black or African American, women",8    ,6    ,72.5    ,6    ,69.0    ,( 3 ),4.7    
02,10,Alaska,Asian,25    ,16    ,65.9    ,15    ,61.5    ,1    ,6.8    
02,11,Alaska,"Asian, men",11    ,8    ,74.4    ,7    ,69.2    ,1    ,6.9    
02,12,Alaska,"Asian, women",14    ,8    ,59.4    ,8    ,55.5    ,1    ,6.6    
02,13,Alaska,Hispanic or Latino ethnicity,17    ,13    ,78.0    ,12    ,69.9    ,1    ,10.4    
02,14,Alaska,"Hispanic or Latino ethnicity, men",8    ,7    ,81.3    ,6    ,74.8    ,1    ,8.0    
02,15,Alaska,"Hispanic or Latino ethnicity, women",9    ,7    ,74.9    ,6    ,65.3    ,1    ,12.9    
02,16,Alaska,"Married men, spouse present",126    ,105    ,83.0    ,100    ,78.9    ,5    ,5.0    
02,17,Alaska,"Married women, spouse present",132    ,90    ,68.3    ,86    ,65.0    ,4    ,4.8    
02,18,Alaska,Women who maintain families,24    ,17    ,70.2    ,15    ,65.4    ,1    ,6.8    
02,19,Alaska,"Total, 16 to 19 years",39    ,20    ,50.1    ,17    ,42.7    ,3    ,14.7    
02,20,Alaska,"Total, 20 to 24 years",47    ,37    ,79.4    ,33    ,70.2    ,4    ,11.6    
02,21,Alaska,"Total, 25 to 34 years",84    ,68    ,81.0    ,63    ,75.5    ,5    ,6.8    
02,22,Alaska,"Total, 35 to 44 years",91    ,76    ,82.8    ,71    ,77.2    ,5    ,6.7    
02,23,Alaska,"Total, 45 to 54 years",111    ,92    ,83.1    ,87    ,79.1    ,4    ,4.8    
02,24,Alaska,"Total, 55 to 64 years",69    ,47    ,68.1    ,44    ,64.4    ,3    ,5.4    
02,25,Alaska,"Total, 65 years and over",44    ,9    ,21.6    ,9    ,20.8    ,( 3 ),3.8    
02,26,Alaska,"Men, 16 to 19 years",20    ,9    ,47.3    ,8    ,39.8    ,2    ,15.9    
02,27,Alaska,"Men, 20 to 24 years",23    ,19    ,81.9    ,16    ,69.8    ,3    ,14.8    
02,28,Alaska,"Men, 25 to 34 years",40    ,36    ,89.5    ,33    ,82.7    ,3    ,7.6    
02,29,Alaska,"Men, 35 to 44 years",46    ,41    ,90.4    ,38    ,83.5    ,3    ,7.6    
02,30,Alaska,"Men, 45 to 54 years",55    ,48    ,87.2    ,45    ,82.5    ,3    ,5.4    
02,31,Alaska,"Men, 55 to 64 years",37    ,27    ,73.8    ,26    ,68.9    ,2    ,6.6    
02,32,Alaska,"Men, 65 years and over",21    ,6    ,27.6    ,6    ,26.2    ,( 3 ),5.2    
02,33,Alaska,"Women, 16 to 19 years",19    ,10    ,53.0    ,9    ,45.8    ,1    ,13.5    
02,34,Alaska,"Women, 20 to 24 years",24    ,18    ,76.8    ,17    ,70.6    ,1    ,8.1    
02,35,Alaska,"Women, 25 to 34 years",44    ,32    ,73.3    ,30    ,69.0    ,2    ,5.9    
02,36,Alaska,"Women, 35 to 44 years",45    ,34    ,75.1    ,32    ,70.9    ,2    ,5.6    
02,37,Alaska,"Women, 45 to 54 years",56    ,44    ,79.1    ,42    ,75.8    ,2    ,4.2    
02,38,Alaska,"Women, 55 to 64 years",32    ,20    ,61.5    ,19    ,59.1    ,1    ,3.8    
02,39,Alaska,"Women, 65 years and over",23    ,4    ,15.9    ,4    ,15.7    ,( 3 ),1.4    
02,40,Alaska,"White, 16 to 19 years",25    ,13    ,53.4    ,12    ,47.9    ,1    ,10.4    
02,41,Alaska,"White, 20 to 24 years",33    ,27    ,81.2    ,24    ,73.7    ,2    ,9.3    
02,42,Alaska,"White, 25 to 34 years",61    ,50    ,82.0    ,47    ,77.4    ,3    ,5.6    
02,43,Alaska,"White, 35 to 44 years",68    ,58    ,84.9    ,55    ,81.3    ,2    ,4.3    
02,44,Alaska,"White, 45 to 54 years",89    ,76    ,85.4    ,73    ,81.9    ,3    ,4.1    
02,45,Alaska,"White, 55 to 64 years",58    ,41    ,69.7    ,39    ,66.6    ,2    ,4.6    
02,46,Alaska,"White, 65 years and over",36    ,8    ,22.7    ,8    ,21.8    ,( 3 ),4.1    
02,51,Alaska,"Black or African American, 45 to 54 years",4    ,3    ,88.8    ,3    ,86.3    ,( 3 ),2.8    
02,56,Alaska,"Asian, 25 to 34 years",5    ,4    ,82.9    ,4    ,77.8    ,( 3 ),6.2    
02,57,Alaska,"Asian, 35 to 44 years",5    ,4    ,77.4    ,3    ,70.8    ,( 3 ),8.4    
02,58,Alaska,"Asian, 45 to 54 years",5    ,3    ,69.7    ,3    ,69.2    ,( 3 ),0.8    
02,64,Alaska,"Hispanic or Latino ethnicity, 35 to 44 years",4    ,4    ,90.8    ,3    ,88.6    ,( 3 ),2.5    
04,01,Arizona,Total,"4,625    ","2,992    ",64.7    ,"2,866    ",62.0    ,126    ,4.2    
04,02,Arizona,Men,"2,278    ","1,672    ",73.4    ,"1,609    ",70.7    ,62    ,3.7    
04,03,Arizona,Women,"2,347    ","1,320    ",56.3    ,"1,257    ",53.6    ,64    ,4.8    
04,04,Arizona,White,"4,143    ","2,691    ",64.9    ,"2,582    ",62.3    ,108    ,4.0    
04,05,Arizona,"White, men","2,041    ","1,513    ",74.2    ,"1,460    ",71.5    ,54    ,3.6    
04,06,Arizona,"White, women","2,103    ","1,177    ",56.0    ,"1,123    ",53.4    ,55    ,4.6    
04,07,Arizona,Black or African American,161    ,114    ,70.6    ,107    ,66.3    ,7    ,6.1    
