StateCode,GroupCode,State,Group,NonInstitutionalPopulation,LaborForceNumber,PercentOfPopulation,EmploymentNumber,EmploymentPercentOfPopulation,UnemploymentNumber,UnemploymentRate
01,01,Alabama,Total,"3,432    ","2,103    ",61.3    ,"1,978    ",57.6    ,124    ,5.9    
01,02,Alabama,Men,"1,606    ","1,104    ",68.7    ,"1,040    ",64.8    ,63    ,5.7    
01,03,Alabama,Women,"1,827    ",999    ,54.7    ,938    ,51.4    ,61    ,6.1    
01,04,Alabama,White,"2,531    ","1,584    ",62.6    ,"1,513    ",59.8    ,72    ,4.5    
01,05,Alabama,"White, men","1,207    ",866    ,71.7    ,830    ,68.8    ,36    ,4.1    
01,06,Alabama,"White, women","1,324    ",719    ,54.3    ,683    ,51.6    ,36    ,5.0    
01,07,Alabama,Black,861    ,492    ,57.2    ,441    ,51.2    ,51    ,10.4    
01,08,Alabama,"Black, men",379    ,222    ,58.6    ,196    ,51.7    ,26    ,11.8    
01,09,Alabama,"Black, women",482    ,270    ,56.0    ,245    ,50.8    ,25    ,9.2    
01,13,Alabama,Hispanic origin,54    ,38    ,70.6    ,36    ,66.2    ,2    ,6.2    
01,19,Alabama,"Total, 16 to 19 years",256    ,104    ,40.8    ,84    ,32.9    ,20    ,19.4    
01,20,Alabama,"Total, 20 to 24 years",278    ,209    ,75.0    ,190    ,68.5    ,18    ,8.8    
01,21,Alabama,"Total, 25 to 34 years",568    ,455    ,80.1    ,421    ,74.2    ,34    ,7.4    
01,22,Alabama,"Total, 35 to 44 years",688    ,562    ,81.6    ,533    ,77.4    ,29    ,5.2    
01,23,Alabama,"Total, 45 to 54 years",635    ,485    ,76.4    ,472    ,74.4    ,13    ,2.7    
01,24,Alabama,"Total, 55 to 64 years",444    ,237    ,53.4    ,228    ,51.4    ,9    ,3.7    
01,25,Alabama,"Total, 65 years and over",564    ,51    ,9.0    ,50    ,8.8    ,1    ,2.4    
01,26,Alabama,"Men, 16 to 19 years",133    ,52    ,39.4    ,42    ,31.3    ,11    ,20.6    
01,27,Alabama,"Men, 20 to 24 years",135    ,113    ,83.5    ,105    ,77.5    ,8    ,7.2    
01,28,Alabama,"Men, 25 to 34 years",269    ,238    ,88.4    ,221    ,82.2    ,17    ,7.0    
01,29,Alabama,"Men, 35 to 44 years",325    ,290    ,89.1    ,276    ,84.7    ,14    ,4.9    
01,30,Alabama,"Men, 45 to 54 years",303    ,252    ,83.2    ,246    ,81.3    ,6    ,2.4    
01,31,Alabama,"Men, 55 to 64 years",207    ,132    ,63.5    ,125    ,60.4    ,6    ,4.9    
01,33,Alabama,"Women, 16 to 19 years",123    ,52    ,42.3    ,42    ,34.6    ,10    ,18.3    
01,34,Alabama,"Women, 20 to 24 years",143    ,96    ,67.0    ,85    ,59.9    ,10    ,10.7    
01,35,Alabama,"Women, 25 to 34 years",298    ,217    ,72.7    ,200    ,67.0    ,17    ,7.8    
01,36,Alabama,"Women, 35 to 44 years",363    ,272    ,75.0    ,257    ,70.8    ,15    ,5.5    
01,37,Alabama,"Women, 45 to 54 years",332    ,233    ,70.2    ,226    ,68.1    ,7    ,3.0    
01,38,Alabama,"Women, 55 to 64 years",237    ,105    ,44.5    ,103    ,43.5    ,2    ,2.3    
01,40,Alabama,"White, 16 to 19 years",158    ,73    ,46.3    ,63    ,39.8    ,10    ,14.0    
01,41,Alabama,"White, 20 to 24 years",188    ,142    ,75.7    ,135    ,71.6    ,8    ,5.3    
01,42,Alabama,"White, 25 to 34 years",402    ,332    ,82.4    ,313    ,77.9    ,18    ,5.5    
01,43,Alabama,"White, 35 to 44 years",502    ,412    ,82.2    ,393    ,78.3    ,19    ,4.7    
01,44,Alabama,"White, 45 to 54 years",482    ,386    ,80.0    ,376    ,77.9    ,10    ,2.6    
01,45,Alabama,"White, 55 to 64 years",360    ,195    ,54.2    ,190    ,52.9    ,5    ,2.5    
01,46,Alabama,"White, 65 years and over",439    ,44    ,9.9    ,42    ,9.7    ,1    ,2.4    
01,48,Alabama,"Black, 20 to 24 years",84    ,62    ,73.4    ,52    ,61.2    ,10    ,16.6    
01,49,Alabama,"Black, 25 to 34 years",158    ,118    ,74.7    ,103    ,65.0    ,15    ,13.0    
01,50,Alabama,"Black, 35 to 44 years",178    ,142    ,79.9    ,133    ,74.5    ,10    ,6.7    
01,51,Alabama,"Black, 45 to 54 years",145    ,95    ,65.7    ,93    ,63.8    ,3    ,2.8    
01,52,Alabama,"Black, 55 to 64 years",80    ,39    ,48.4    ,35    ,44.2    ,3    ,8.7    
02,01,Alaska,Total,449    ,323    ,71.9    ,298    ,66.4    ,25    ,7.7    
02,02,Alaska,Men,226    ,175    ,77.5    ,160    ,70.7    ,15    ,8.7    
02,03,Alaska,Women,223    ,148    ,66.3    ,138    ,62.0    ,10    ,6.5    
02,04,Alaska,White,337    ,247    ,73.4    ,232    ,68.9    ,15    ,6.1    
02,05,Alaska,"White, men",174    ,138    ,79.3    ,128    ,73.9    ,9    ,6.8    
02,06,Alaska,"White, women",163    ,109    ,67.1    ,104    ,63.6    ,6    ,5.2    
02,07,Alaska,Black,14    ,10    ,74.7    ,10    ,68.3    ,1    ,8.6    
02,08,Alaska,"Black, men",6    ,5    ,81.4    ,5    ,73.1    ,1    ,10.2    
02,09,Alaska,"Black, women",8    ,5    ,69.1    ,5    ,64.2    ,( 3 ),7.1    
02,13,Alaska,Hispanic origin,19    ,13    ,69.6    ,12    ,65.2    ,1    ,6.3    
02,14,Alaska,"Hispanic origin, men",8    ,7    ,80.9    ,6    ,74.9    ,( 3 ),7.4    
02,15,Alaska,"Hispanic origin, women",11    ,6    ,60.7    ,6    ,57.6    ,( 3 ),5.1    
02,19,Alaska,"Total, 16 to 19 years",43    ,22    ,51.0    ,17    ,40.3    ,5    ,21.0    
02,20,Alaska,"Total, 20 to 24 years",37    ,27    ,73.8    ,23    ,63.0    ,4    ,14.6    
02,21,Alaska,"Total, 25 to 34 years",80    ,67    ,84.4    ,63    ,78.8    ,4    ,6.6    
02,22,Alaska,"Total, 35 to 44 years",99    ,84    ,85.0    ,78    ,78.6    ,6    ,7.5    
02,23,Alaska,"Total, 45 to 54 years",104    ,86    ,82.9    ,82    ,78.8    ,4    ,4.9    
02,24,Alaska,"Total, 55 to 64 years",50    ,30    ,60.8    ,29    ,58.4    ,1    ,4.0    
02,25,Alaska,"Total, 65 years and over",37    ,6    ,16.0    ,6    ,15.3    ,( 3 ),4.8    
02,26,Alaska,"Men, 16 to 19 years",23    ,11    ,50.0    ,9    ,37.9    ,3    ,24.2    
02,27,Alaska,"Men, 20 to 24 years",19    ,15    ,79.0    ,13    ,68.1    ,2    ,13.8    
02,28,Alaska,"Men, 25 to 34 years",38    ,35    ,91.5    ,32    ,84.3    ,3    ,7.8    
02,29,Alaska,"Men, 35 to 44 years",49    ,45    ,92.3    ,42    ,84.6    ,4    ,8.3    
02,30,Alaska,"Men, 45 to 54 years",54    ,47    ,87.4    ,44    ,81.9    ,3    ,6.3    
02,31,Alaska,"Men, 55 to 64 years",26    ,18    ,67.8    ,17    ,64.8    ,1    ,4.5    
02,32,Alaska,"Men, 65 years and over",17    ,3    ,20.7    ,3    ,19.3    ,( 3 ),6.8    
02,33,Alaska,"Women, 16 to 19 years",20    ,10    ,52.2    ,9    ,43.1    ,2    ,17.4    
02,34,Alaska,"Women, 20 to 24 years",18    ,12    ,68.4    ,10    ,57.8    ,2    ,15.4    
02,35,Alaska,"Women, 25 to 34 years",41    ,32    ,77.8    ,31    ,73.8    ,2    ,5.2    
02,36,Alaska,"Women, 35 to 44 years",50    ,39    ,77.8    ,36    ,72.8    ,3    ,6.5    
02,37,Alaska,"Women, 45 to 54 years",50    ,39    ,78.0    ,38    ,75.5    ,1    ,3.2    
02,38,Alaska,"Women, 55 to 64 years",23    ,12    ,53.0    ,12    ,51.3    ,( 3 ),3.2    
02,40,Alaska,"White, 16 to 19 years",29    ,16    ,53.1    ,12    ,42.4    ,3    ,20.2    
02,41,Alaska,"White, 20 to 24 years",27    ,20    ,74.4    ,17    ,65.3    ,2    ,12.3    
02,42,Alaska,"White, 25 to 34 years",58    ,49    ,85.5    ,47    ,81.0    ,3    ,5.2    
02,43,Alaska,"White, 35 to 44 years",72    ,63    ,86.6    ,60    ,82.3    ,3    ,4.9    
02,44,Alaska,"White, 45 to 54 years",82    ,70    ,84.9    ,67    ,81.5    ,3    ,4.0    
02,45,Alaska,"White, 55 to 64 years",41    ,26    ,63.6    ,25    ,61.4    ,1    ,3.5    
02,46,Alaska,"White, 65 years and over",28    ,4    ,15.5    ,4    ,15.0    ,( 3 ),3.3    
02,51,Alaska,"Black, 45 to 54 years",3    ,3    ,86.5    ,3    ,82.0    ,( 3 ),5.2    
02,63,Alaska,"Hispanic origin, 25 to 34 years",5    ,4    ,78.0    ,3    ,72.1    ,( 3 ),7.6    
02,64,Alaska,"Hispanic origin, 35 to 44 years",4    ,3    ,86.8    ,3    ,83.2    ,( 3 ),4.2    
04,01,Arizona,Total,"4,033    ","2,672    ",66.2    ,"2,507    ",62.2    ,165    ,6.2    
04,02,Arizona,Men,"2,015    ","1,522    ",75.5    ,"1,430    ",71.0    ,92    ,6.1    
04,03,Arizona,Women,"2,018    ","1,150    ",57.0    ,"1,077    ",53.4    ,73    ,6.3    
04,04,Arizona,White,"3,675    ","2,417    ",65.8    ,"2,273    ",61.9    ,144    ,6.0    
04,05,Arizona,"White, men","1,816    ","1,367    ",75.3    ,"1,289    ",71.0    ,78    ,5.7    
04,06,Arizona,"White, women","1,859    ","1,051    ",56.5    ,984    ,52.9    ,66    ,6.3    
04,07,Arizona,Black,106    ,75    ,70.7    ,69    ,64.9    ,6    ,8.2    
04,08,Arizona,"Black, men",61    ,46    ,75.4    ,43    ,70.9    ,3    ,6.0    
04,13,Arizona,Hispanic origin,986    ,690    ,70.0    ,635    ,64.4    ,55    ,8.0    
04,14,Arizona,"Hispanic origin, men",501    ,420    ,83.7    ,389    ,77.5    ,31    ,7.3    
04,15,Arizona,"Hispanic origin, women",484    ,270    ,55.8    ,246    ,50.8    ,24    ,9.0    
