StateCode,GroupCode,State,Group,NonInstitutionalPopulation,LaborForceNumber,PercentOfPopulation,EmploymentNumber,EmploymentPercentOfPopulation,UnemploymentNumber,UnemploymentRate
01,01,Alabama,Total,"3,401    ","2,154    ",63.3    ,"2,055    ",60.4    ,99    ,4.6    
01,02,Alabama,Men,"1,589    ","1,124    ",70.7    ,"1,074    ",67.6    ,50    ,4.5    
01,03,Alabama,Women,"1,812    ","1,030    ",56.9    ,981    ,54.1    ,49    ,4.8    
01,04,Alabama,White,"2,482    ","1,585    ",63.8    ,"1,532    ",61.7    ,53    ,3.3    
01,05,Alabama,"White, men","1,179    ",859    ,72.8    ,834    ,70.7    ,25    ,2.9    
01,06,Alabama,"White, women","1,303    ",726    ,55.7    ,698    ,53.6    ,28    ,3.8    
01,07,Alabama,Black,890    ,551    ,61.8    ,505    ,56.7    ,46    ,8.3    
01,08,Alabama,"Black, men",398    ,257    ,64.7    ,232    ,58.4    ,25    ,9.6    
01,09,Alabama,"Black, women",493    ,293    ,59.6    ,273    ,55.3    ,21    ,7.1    
01,19,Alabama,"Total, 16 to 19 years",281    ,125    ,44.4    ,101    ,36.1    ,23    ,18.6    
01,20,Alabama,"Total, 20 to 24 years",307    ,235    ,76.7    ,213    ,69.6    ,22    ,9.3    
01,21,Alabama,"Total, 25 to 34 years",589    ,491    ,83.4    ,472    ,80.2    ,19    ,3.8    
01,22,Alabama,"Total, 35 to 44 years",703    ,580    ,82.5    ,561    ,79.9    ,19    ,3.2    
01,23,Alabama,"Total, 45 to 54 years",575    ,453    ,78.7    ,441    ,76.6    ,12    ,2.7    
01,24,Alabama,"Total, 55 to 64 years",410    ,219    ,53.4    ,215    ,52.4    ,4    ,1.9    
01,25,Alabama,"Total, 65 years and over",536    ,52    ,9.6    ,52    ,9.6    ,( 2 ),0.4    
01,26,Alabama,"Men, 16 to 19 years",132    ,62    ,46.9    ,48    ,36.0    ,14    ,23.1    
01,27,Alabama,"Men, 20 to 24 years",148    ,121    ,81.3    ,109    ,73.7    ,11    ,9.3    
01,28,Alabama,"Men, 25 to 34 years",284    ,255    ,89.8    ,248    ,87.1    ,8    ,3.0    
01,29,Alabama,"Men, 35 to 44 years",325    ,291    ,89.5    ,282    ,86.9    ,8    ,2.9    
01,30,Alabama,"Men, 45 to 54 years",289    ,249    ,86.3    ,243    ,84.0    ,7    ,2.7    
01,31,Alabama,"Men, 55 to 64 years",192    ,118    ,61.3    ,116    ,60.4    ,2    ,1.5    
01,33,Alabama,"Women, 16 to 19 years",149    ,63    ,42.1    ,54    ,36.2    ,9    ,14.1    
01,34,Alabama,"Women, 20 to 24 years",158    ,114    ,72.3    ,104    ,65.7    ,11    ,9.2    
01,35,Alabama,"Women, 25 to 34 years",305    ,236    ,77.4    ,224    ,73.7    ,11    ,4.8    
01,36,Alabama,"Women, 35 to 44 years",378    ,289    ,76.5    ,279    ,73.8    ,10    ,3.5    
01,37,Alabama,"Women, 45 to 54 years",286    ,204    ,71.1    ,198    ,69.2    ,6    ,2.8    
01,38,Alabama,"Women, 55 to 64 years",219    ,102    ,46.5    ,99    ,45.4    ,2    ,2.3    
01,40,Alabama,"White, 16 to 19 years",183    ,93    ,51.0    ,79    ,43.4    ,14    ,15.0    
01,41,Alabama,"White, 20 to 24 years",190    ,145    ,76.4    ,137    ,72.4    ,8    ,5.2    
01,42,Alabama,"White, 25 to 34 years",413    ,346    ,83.9    ,336    ,81.4    ,10    ,3.0    
01,43,Alabama,"White, 35 to 44 years",501    ,419    ,83.6    ,410    ,81.8    ,9    ,2.1    
01,44,Alabama,"White, 45 to 54 years",435    ,359    ,82.7    ,351    ,80.7    ,9    ,2.4    
01,45,Alabama,"White, 55 to 64 years",326    ,179    ,55.0    ,176    ,54.0    ,3    ,1.8    
01,48,Alabama,"Black, 20 to 24 years",111    ,86    ,77.9    ,72    ,65.1    ,14    ,16.4    
01,49,Alabama,"Black, 25 to 34 years",168    ,140    ,83.3    ,131    ,78.2    ,9    ,6.1    
01,50,Alabama,"Black, 35 to 44 years",197    ,157    ,79.8    ,147    ,74.7    ,10    ,6.4    
01,51,Alabama,"Black, 45 to 54 years",139    ,93    ,66.7    ,89    ,64.0    ,4    ,4.0    
02,01,Alaska,Total,438    ,322    ,73.5    ,301    ,68.6    ,21    ,6.6    
02,02,Alaska,Men,217    ,172    ,79.3    ,160    ,73.6    ,12    ,7.2    
02,03,Alaska,Women,221    ,150    ,67.8    ,141    ,63.7    ,9    ,6.0    
02,04,Alaska,White,342    ,257    ,74.9    ,243    ,70.9    ,14    ,5.4    
02,05,Alaska,"White, men",173    ,140    ,80.9    ,132    ,76.2    ,8    ,5.8    
02,06,Alaska,"White, women",170    ,117    ,68.8    ,111    ,65.4    ,6    ,4.9    
02,07,Alaska,Black,13    ,10    ,76.8    ,9    ,70.2    ,1    ,8.5    
02,08,Alaska,"Black, men",7    ,5    ,77.8    ,5    ,70.3    ,1    ,9.7    
02,09,Alaska,"Black, women",6    ,5    ,75.6    ,4    ,70.2    ,( 2 ),7.2    
02,13,Alaska,Hispanic origin,12    ,9    ,75.0    ,8    ,70.4    ,1    ,6.1    
02,14,Alaska,"Hispanic origin, men",6    ,5    ,88.0    ,5    ,83.2    ,( 2 ),5.4    
02,15,Alaska,"Hispanic origin, women",6    ,4    ,63.5    ,4    ,59.1    ,( 2 ),6.9    
02,19,Alaska,"Total, 16 to 19 years",43    ,22    ,51.4    ,18    ,42.8    ,4    ,16.7    
