StateCode,GroupCode,State,Group,NonInstitutionalPopulation,LaborForceNumber,PercentOfPopulation,EmploymentNumber,EmploymentPercentOfPopulation,UnemploymentNumber,UnemploymentRate
01,01,Alabama,Total,"3,816    ","2,167    ",56.8    ,"2,036    ",53.4    ,131    ,6.0    
01,02,Alabama,"Total, 16 to 24 years",600    ,326    ,54.3    ,286    ,47.6    ,40    ,12.3    
01,03,Alabama,"Total, 25 to 54 years","1,827    ","1,393    ",76.3    ,"1,318    ",72.2    ,75    ,5.4    
01,04,Alabama,"Total, 55 years and over","1,389    ",448    ,32.3    ,432    ,31.1    ,16    ,3.7    
01,05,Alabama,Men,"1,805    ","1,145    ",63.5    ,"1,070    ",59.3    ,75    ,6.6    
01,06,Alabama,"Men, 16 to 24 years",286    ,159    ,55.6    ,137    ,47.9    ,22    ,13.8    
01,07,Alabama,"Men, 25 to 54 years",896    ,746    ,83.2    ,703    ,78.4    ,43    ,5.8    
01,08,Alabama,"Men, 55 years and over",622    ,241    ,38.7    ,230    ,37.0    ,10    ,4.4    
01,09,Alabama,Women,"2,011    ","1,022    ",50.8    ,966    ,48.0    ,56    ,5.4    
01,10,Alabama,"Women, 16 to 24 years",314    ,167    ,53.1    ,149    ,47.4    ,18    ,10.9    
01,11,Alabama,"Women, 25 to 54 years",931    ,647    ,69.6    ,616    ,66.2    ,32    ,4.9    
01,12,Alabama,"Women, 55 years and over",767    ,208    ,27.1    ,202    ,26.3    ,6    ,2.9    
01,13,Alabama,White,"2,689    ","1,506    ",56.0    ,"1,437    ",53.4    ,69    ,4.6    
01,14,Alabama,"White, 16 to 24 years",379    ,202    ,53.2    ,184    ,48.4    ,18    ,9.0    
01,15,Alabama,"White, 25 to 54 years","1,245    ",961    ,77.2    ,922    ,74.0    ,39    ,4.0    
01,16,Alabama,"White, 55 years and over","1,065    ",343    ,32.2    ,331    ,31.1    ,12    ,3.5    
01,17,Alabama,Black or African American,983    ,579    ,58.9    ,520    ,52.9    ,59    ,10.1    
01,18,Alabama,"Black or African American, 16 to 24 years",188    ,109    ,58.4    ,89    ,47.5    ,20    ,18.6    
01,19,Alabama,"Black or African American, 25 to 54 years",503    ,378    ,75.2    ,343    ,68.3    ,35    ,9.2    
01,20,Alabama,"Black or African American, 55 years and over",293    ,92    ,31.2    ,88    ,30.0    ,4    ,3.9    
01,25,Alabama,Hispanic or Latino ethnicity,126    ,88    ,69.6    ,83    ,66.0    ,5    ,5.2    
01,27,Alabama,"Hispanic or Latino ethnicity, 25 to 54 years",81    ,62    ,76.1    ,59    ,72.8    ,3    ,4.3    
02,01,Alaska,Total,546    ,359    ,65.9    ,335    ,61.5    ,24    ,6.6    
02,02,Alaska,"Total, 16 to 24 years",91    ,51    ,56.3    ,45    ,49.5    ,6    ,12.0    
02,03,Alaska,"Total, 25 to 54 years",286    ,232    ,80.9    ,218    ,76.2    ,14    ,5.8    
02,04,Alaska,"Total, 55 years and over",168    ,76    ,45.3    ,72    ,42.9    ,4    ,5.4    
02,05,Alaska,Men,280    ,193    ,68.9    ,179    ,63.9    ,14    ,7.2    
02,06,Alaska,"Men, 16 to 24 years",47    ,27    ,57.3    ,24    ,49.7    ,4    ,13.3    
02,07,Alaska,"Men, 25 to 54 years",147    ,126    ,85.9    ,118    ,80.3    ,8    ,6.5    
02,08,Alaska,"Men, 55 years and over",86    ,40    ,46.3    ,38    ,43.8    ,2    ,5.3    
02,09,Alaska,Women,265    ,166    ,62.6    ,156    ,58.9    ,10    ,6.0    
02,10,Alaska,"Women, 16 to 24 years",44    ,24    ,55.3    ,22    ,49.4    ,3    ,10.6    
02,11,Alaska,"Women, 25 to 54 years",140    ,106    ,75.7    ,100    ,71.8    ,5    ,5.1    
02,12,Alaska,"Women, 55 years and over",82    ,36    ,44.3    ,34    ,41.8    ,2    ,5.6    
02,13,Alaska,White,363    ,243    ,67.0    ,231    ,63.7    ,12    ,5.0    
02,14,Alaska,"White, 16 to 24 years",51    ,31    ,61.0    ,28    ,54.5    ,3    ,10.8    
02,15,Alaska,"White, 25 to 54 years",183    ,151    ,82.7    ,145    ,79.5    ,6    ,3.8    
02,16,Alaska,"White, 55 years and over",129    ,61    ,47.3    ,58    ,44.9    ,3    ,5.0    
02,17,Alaska,Black or African American,19    ,15    ,79.4    ,14    ,74.6    ,1    ,6.1    
02,21,Alaska,Asian,38    ,25    ,66.7    ,24    ,63.6    ,1    ,4.7    
02,23,Alaska,"Asian, 25 to 54 years",21    ,17    ,82.4    ,16    ,78.4    ,1    ,4.8    
02,25,Alaska,Hispanic or Latino ethnicity,33    ,25    ,75.5    ,24    ,72.2    ,1    ,4.4    
02,27,Alaska,"Hispanic or Latino ethnicity, 25 to 54 years",20    ,17    ,85.0    ,16    ,81.6    ,1    ,3.9    
04,01,Arizona,Total,"5,374    ","3,243    ",60.4    ,"3,076    ",57.2    ,168    ,5.2    
04,02,Arizona,"Total, 16 to 24 years",856    ,481    ,56.2    ,428    ,50.0    ,53    ,11.1    
04,03,Arizona,"Total, 25 to 54 years","2,638    ","2,094    ",79.4    ,"2,008    ",76.1    ,86    ,4.1    
04,04,Arizona,"Total, 55 years and over","1,879    ",669    ,35.6    ,640    ,34.1    ,28    ,4.2    
04,05,Arizona,Men,"2,614    ","1,767    ",67.6    ,"1,676    ",64.1    ,90    ,5.1    
04,06,Arizona,"Men, 16 to 24 years",427    ,251    ,58.7    ,220    ,51.5    ,31    ,12.3    
04,07,Arizona,"Men, 25 to 54 years","1,321    ","1,164    ",88.1    ,"1,121    ",84.9    ,43    ,3.7    
04,08,Arizona,"Men, 55 years and over",866    ,352    ,40.6    ,335    ,38.7    ,16    ,4.6    
04,09,Arizona,Women,"2,759    ","1,477    ",53.5    ,"1,399    ",50.7    ,77    ,5.2    
04,10,Arizona,"Women, 16 to 24 years",429    ,231    ,53.7    ,208    ,48.5    ,22    ,9.7    
04,11,Arizona,"Women, 25 to 54 years","1,317    ",929    ,70.6    ,887    ,67.3    ,43    ,4.6    
04,12,Arizona,"Women, 55 years and over","1,013    ",317    ,31.3    ,305    ,30.1    ,12    ,3.8    
04,13,Arizona,White,"4,648    ","2,800    ",60.2    ,"2,658    ",57.2    ,142    ,5.1    
04,14,Arizona,"White, 16 to 24 years",706    ,405    ,57.4    ,360    ,51.0    ,45    ,11.1    
04,15,Arizona,"White, 25 to 54 years","2,231    ","1,791    ",80.3    ,"1,719    ",77.1    ,71    ,4.0    
04,16,Arizona,"White, 55 years and over","1,711    ",603    ,35.3    ,578    ,33.8    ,25    ,4.2    
04,17,Arizona,Black or African American,251    ,171    ,67.9    ,159    ,63.3    ,12    ,6.8    
04,19,Arizona,"Black or African American, 25 to 54 years",151    ,120    ,79.2    ,113    ,74.8    ,7    ,5.5    
04,21,Arizona,Asian,206    ,122    ,59.4    ,119    ,58.0    ,3    ,2.2    
04,23,Arizona,"Asian, 25 to 54 years",114    ,86    ,75.6    ,86    ,75.2    ,( 2 ),0.6    
04,25,Arizona,Hispanic or Latino ethnicity,"1,693    ","1,096    ",64.7    ,"1,019    ",60.2    ,77    ,7.1    
04,26,Arizona,"Hispanic or Latino ethnicity, 16 to 24 years",384    ,226    ,58.9    ,194    ,50.5    ,32    ,14.3    
04,27,Arizona,"Hispanic or Latino ethnicity, 25 to 54 years",928    ,715    ,77.1    ,677    ,73.0    ,38    ,5.2    
04,28,Arizona,"Hispanic or Latino ethnicity, 55 years and over",382    ,155    ,40.7    ,148    ,38.7    ,8    ,4.9    
05,01,Arkansas,Total,"2,311    ","1,348    ",58.4    ,"1,296    ",56.1    ,53    ,3.9    
05,02,Arkansas,"Total, 16 to 24 years",328    ,179    ,54.6    ,163    ,49.7    ,16    ,8.9    
05,03,Arkansas,"Total, 25 to 54 years","1,142    ",895    ,78.4    ,864    ,75.7    ,31    ,3.4    
05,04,Arkansas,"Total, 55 years and over",841    ,275    ,32.6    ,269    ,31.9    ,6    ,2.2    
05,05,Arkansas,Men,"1,112    ",715    ,64.3    ,689    ,62.0    ,26    ,3.6    
05,06,Arkansas,"Men, 16 to 24 years",162    ,91    ,56.3    ,83    ,50.9    ,9    ,9.5    
05,07,Arkansas,"Men, 25 to 54 years",557    ,478    ,85.8    ,464    ,83.3    ,14    ,2.9    
05,08,Arkansas,"Men, 55 years and over",393    ,146    ,37.2    ,142    ,36.3    ,3    ,2.4    
05,09,Arkansas,Women,"1,198    ",633    ,52.8    ,606    ,50.6    ,27    ,4.2    
05,10,Arkansas,"Women, 16 to 24 years",165    ,88    ,52.9    ,80    ,48.6    ,7    ,8.2    
05,11,Arkansas,"Women, 25 to 54 years",584    ,417    ,71.3    ,400    ,68.4    ,17    ,4.1    
05,12,Arkansas,"Women, 55 years and over",449    ,129    ,28.7    ,126    ,28.1    ,2    ,1.9    
05,13,Arkansas,White,"1,876    ","1,090    ",58.1    ,"1,056    ",56.3    ,35    ,3.2    
05,14,Arkansas,"White, 16 to 24 years",247    ,136    ,55.3    ,126    ,51.2    ,10    ,7.4    
05,15,Arkansas,"White, 25 to 54 years",906    ,716    ,79.0    ,696    ,76.8    ,20    ,2.8    
05,16,Arkansas,"White, 55 years and over",723    ,238    ,32.9    ,234    ,32.3    ,4    ,1.8    
05,17,Arkansas,Black or African American,338    ,201    ,59.3    ,185    ,54.7    ,15    ,7.7    
05,19,Arkansas,"Black or African American, 25 to 54 years",180    ,137    ,76.0    ,127    ,70.8    ,9    ,6.9    
05,25,Arkansas,Hispanic or Latino ethnicity,133    ,98    ,73.2    ,94    ,70.6    ,3    ,3.6    
05,27,Arkansas,"Hispanic or Latino ethnicity, 25 to 54 years",83    ,67    ,80.7    ,65    ,78.3    ,2    ,3.1    
06,01,California,Total,"30,669    ","19,076    ",62.2    ,"18,048    ",58.8    ,"1,027    ",5.4    
06,02,California,"Total, 16 to 24 years","4,894    ","2,451    ",50.1    ,"2,199    ",44.9    ,252    ,10.3    
06,03,California,"Total, 25 to 54 years","15,914    ","12,625    ",79.3    ,"12,027    ",75.6    ,598    ,4.7    
06,04,California,"Total, 55 years and over","9,861    ","3,999    ",40.6    ,"3,822    ",38.8    ,177    ,4.4    
06,05,California,Men,"14,978    ","10,516    ",70.2    ,"9,967    ",66.5    ,549    ,5.2    
06,06,California,"Men, 16 to 24 years","2,496    ","1,292    ",51.8    ,"1,144    ",45.8    ,148    ,11.5    
06,07,California,"Men, 25 to 54 years","7,932    ","7,045    ",88.8    ,"6,743    ",85.0    ,301    ,4.3    
06,08,California,"Men, 55 years and over","4,550    ","2,179    ",47.9    ,"2,080    ",45.7    ,99    ,4.5    
06,09,California,Women,"15,691    ","8,560    ",54.6    ,"8,081    ",51.5    ,478    ,5.6    
06,10,California,"Women, 16 to 24 years","2,398    ","1,159    ",48.4    ,"1,056    ",44.0    ,104    ,8.9    
06,11,California,"Women, 25 to 54 years","7,982    ","5,580    ",69.9    ,"5,284    ",66.2    ,297    ,5.3    
06,12,California,"Women, 55 years and over","5,311    ","1,820    ",34.3    ,"1,742    ",32.8    ,78    ,4.3    
06,13,California,White,"22,190    ","13,806    ",62.2    ,"13,060    ",58.9    ,747    ,5.4    
06,14,California,"White, 16 to 24 years","3,459    ","1,801    ",52.1    ,"1,607    ",46.5    ,194    ,10.8    
06,15,California,"White, 25 to 54 years","11,309    ","8,995    ",79.5    ,"8,572    ",75.8    ,423    ,4.7    
06,16,California,"White, 55 years and over","7,421    ","3,011    ",40.6    ,"2,880    ",38.8    ,130    ,4.3    
06,17,California,Black or African American,"1,927    ","1,150    ",59.7    ,"1,049    ",54.4    ,101    ,8.8    
