StateCode,GroupCode,State,Group,NonInstitutionalPopulation,LaborForceNumber,PercentOfPopulation,EmploymentNumber,EmploymentPercentOfPopulation,UnemploymentNumber,UnemploymentRate
01,01,Alabama,Total,"3,442    ","2,147    ",62.4    ,"2,023    ",58.8    ,125    ,5.8    
01,02,Alabama,Men,"1,623    ","1,125    ",69.3    ,"1,064    ",65.6    ,60    ,5.4    
01,03,Alabama,Women,"1,819    ","1,023    ",56.2    ,958    ,52.7    ,64    ,6.3    
01,04,Alabama,White,"2,499    ","1,587    ",63.5    ,"1,523    ",60.9    ,64    ,4.1    
01,05,Alabama,"White, men","1,210    ",872    ,72.1    ,838    ,69.3    ,34    ,3.9    
01,06,Alabama,"White, women","1,289    ",715    ,55.4    ,685    ,53.1    ,30    ,4.2    
01,07,Alabama,Black or African American,842    ,499    ,59.2    ,442    ,52.4    ,57    ,11.5    
01,08,Alabama,"Black or African American, men",369    ,219    ,59.4    ,195    ,52.8    ,24    ,11.1    
01,09,Alabama,"Black or African American, women",473    ,280    ,59.1    ,247    ,52.2    ,33    ,11.8    
01,13,Alabama,Hispanic or Latino ethnicity,44    ,35    ,79.4    ,33    ,74.6    ,2    ,6.0    
01,16,Alabama,"Married men, spouse present",975    ,733    ,75.2    ,714    ,73.3    ,19    ,2.6    
01,17,Alabama,"Married women, spouse present",949    ,562    ,59.2    ,541    ,57.0    ,21    ,3.8    
01,18,Alabama,Women who maintain families,237    ,160    ,67.6    ,146    ,61.8    ,14    ,8.5    
01,19,Alabama,"Total, 16 to 19 years",258    ,104    ,40.5    ,84    ,32.7    ,20    ,19.2    
01,20,Alabama,"Total, 20 to 24 years",274    ,206    ,75.1    ,180    ,65.8    ,25    ,12.4    
01,21,Alabama,"Total, 25 to 34 years",618    ,507    ,82.0    ,475    ,76.8    ,32    ,6.3    
01,22,Alabama,"Total, 35 to 44 years",647    ,536    ,82.8    ,509    ,78.7    ,27    ,5.0    
01,23,Alabama,"Total, 45 to 54 years",637    ,492    ,77.2    ,482    ,75.7    ,9    ,1.9    
01,24,Alabama,"Total, 55 to 64 years",436    ,239    ,54.7    ,229    ,52.4    ,10    ,4.2    
01,25,Alabama,"Total, 65 years and over",571    ,64    ,11.2    ,63    ,11.0    ,1    ,2.1    
01,26,Alabama,"Men, 16 to 19 years",136    ,50    ,36.7    ,41    ,30.2    ,9    ,17.8    
01,27,Alabama,"Men, 20 to 24 years",119    ,95    ,79.7    ,83    ,69.8    ,12    ,12.4    
01,28,Alabama,"Men, 25 to 34 years",301    ,270    ,89.6    ,256    ,85.0    ,14    ,5.1    
01,29,Alabama,"Men, 35 to 44 years",318    ,289    ,91.0    ,275    ,86.5    ,14    ,4.9    
01,30,Alabama,"Men, 45 to 54 years",303    ,257    ,84.8    ,251    ,82.9    ,6    ,2.2    
01,31,Alabama,"Men, 55 to 64 years",203    ,128    ,63.1    ,123    ,60.7    ,5    ,3.9    
01,32,Alabama,"Men, 65 years and over",243    ,35    ,14.6    ,35    ,14.3    ,1    ,2.1    
01,33,Alabama,"Women, 16 to 19 years",122    ,54    ,44.7    ,43    ,35.6    ,11    ,20.5    
01,34,Alabama,"Women, 20 to 24 years",155    ,111    ,71.6    ,97    ,62.8    ,14    ,12.3    
01,35,Alabama,"Women, 25 to 34 years",317    ,237    ,74.7    ,219    ,69.1    ,18    ,7.5    
01,36,Alabama,"Women, 35 to 44 years",330    ,247    ,74.9    ,235    ,71.1    ,12    ,5.0    
01,37,Alabama,"Women, 45 to 54 years",334    ,235    ,70.3    ,231    ,69.2    ,4    ,1.6    
01,38,Alabama,"Women, 55 to 64 years",233    ,110    ,47.3    ,105    ,45.2    ,5    ,4.5    
01,40,Alabama,"White, 16 to 19 years",161    ,73    ,45.6    ,63    ,39.4    ,10    ,13.8    
01,41,Alabama,"White, 20 to 24 years",171    ,133    ,77.9    ,123    ,72.0    ,10    ,7.5    
01,42,Alabama,"White, 25 to 34 years",445    ,375    ,84.2    ,361    ,81.1    ,14    ,3.8    
01,43,Alabama,"White, 35 to 44 years",458    ,387    ,84.6    ,370    ,80.8    ,17    ,4.5    
01,44,Alabama,"White, 45 to 54 years",463    ,371    ,80.3    ,366    ,79.2    ,5    ,1.3    
01,45,Alabama,"White, 55 to 64 years",349    ,192    ,55.1    ,186    ,53.2    ,7    ,3.5    
01,46,Alabama,"White, 65 years and over",452    ,55    ,12.1    ,53    ,11.8    ,1    ,2.1    
01,48,Alabama,"Black or African American, 20 to 24 years",94    ,67    ,70.6    ,52    ,55.1    ,15    ,22.0    
01,49,Alabama,"Black or African American, 25 to 34 years",150    ,116    ,77.2    ,99    ,66.0    ,17    ,14.4    
01,50,Alabama,"Black or African American, 35 to 44 years",167    ,133    ,79.5    ,124    ,74.4    ,9    ,6.4    
01,51,Alabama,"Black or African American, 45 to 54 years",159    ,110    ,69.1    ,106    ,66.6    ,4    ,3.6    
01,52,Alabama,"Black or African American, 55 to 64 years",75    ,39    ,52.1    ,36    ,47.7    ,3    ,8.5    
02,01,Alaska,Total,459    ,332    ,72.3    ,305    ,66.5    ,27    ,8.0    
02,02,Alaska,Men,231    ,176    ,76.4    ,160    ,69.3    ,16    ,9.3    
02,03,Alaska,Women,228    ,155    ,68.3    ,145    ,63.8    ,10    ,6.6    
02,04,Alaska,White,343    ,252    ,73.6    ,236    ,68.9    ,16    ,6.4    
02,05,Alaska,"White, men",175    ,135    ,77.5    ,125    ,71.7    ,10    ,7.5    
02,06,Alaska,"White, women",168    ,117    ,69.6    ,111    ,66.1    ,6    ,5.1    
02,07,Alaska,Black or African American,14    ,10    ,73.9    ,10    ,69.5    ,1    ,6.0    
