Exports of goods and services (current US$)	Exports of goods and services (constant LCU)	Gross fixed capital formation (current US$)	Gross fixed capital formation (constant LCU)	Gross capital formation (current LCU)	Gross capital formation (constant LCU)	Imports of goods and services (constant LCU)	Agriculture, value added (current US$)	Agriculture, value added (current LCU)	Agriculture, value added (constant LCU)	Manufacturing, value added (current US$)	Manufacturing, value added (current LCU)	Manufacturing, value added (constant 2000 US$)	Manufacturing, value added (constant LCU)	Industry, value added (current US$)	Industry, value added (current LCU)	Industry, value added (constant 2000 US$)	Industry, value added (constant LCU)	Services, etc., value added (current US$)	Services, etc., value added (constant 2000 US$)	Services, etc., value added (constant LCU)	Adjusted savings: education expenditure (current US$)	Adjusted savings: carbon dioxide damage (current US$)	Adjusted savings: net forest depletion (current US$)	Adjusted savings: consumption of fixed capital (current US$)	Adjusted savings: mineral depletion (current US$)	Adjusted savings: energy depletion (current US$)	Adjusted savings: particulate emission damage (current US$)	Adjusted savings: net national savings (current US$)	Adjusted net national income (current US$)	Adjusted net national income (constant 2000 US$)	Adjusted net savings, including particulate emission damage (current US$)	Adjusted net savings, excluding particulate emission damage (current US$)	Exports as a capacity to import (constant LCU)	GDP deflator (base year varies by country)	Discrepancy in expenditure estimate of GDP (current LCU)	Discrepancy in expenditure estimate of GDP (constant LCU)	Gross value added at factor cost (current US$)	Gross value added at factor cost (current LCU)	Gross value added at factor cost (constant 2000 US$)	Gross value added at factor cost (constant LCU)	GDP (current US$)	GDP (current LCU)	GDP (constant 2000 US$)	GDP (constant LCU)	GDP, PPP (current international $)	GDP, PPP (constant 2005 international $)	GDP per capita (constant LCU)	Gross domestic savings (current US$)	Gross domestic savings (current LCU)	Gross domestic savings (constant LCU)	Gross domestic income (constant 2000 US$)	Gross domestic income (constant LCU)	GNI, Atlas method (current US$)	GNI (current US$)	GNI (current LCU)	GNI (constant 2000 US$)	GNI (constant LCU)	GNI, PPP (current international $)	GNI per capita, Atlas method (current US$)	GNI per capita (constant 2000 US$)	GNI per capita (constant LCU)	GNI per capita, PPP (current international $)	Gross savings (current US$)	Gross savings (current LCU)	Gross national income (constant LCU)	Net income from abroad (current US$)	Net income from abroad (current LCU)	Net income from abroad (constant LCU)	Net taxes on products (current US$)	Net taxes on products (current LCU)	Net taxes on products (constant LCU)	Net current transfers from abroad (current US$)	Net current transfers from abroad (current LCU)	Net current transfers from abroad (constant LCU)	Terms of trade adjustment (constant LCU)	DEC alternative conversion factor (LCU per US$)	Official exchange rate (LCU per US$, period average)	PPP conversion factor, GDP (LCU per international $)	PPP conversion factor (GDP) to market exchange rate ratio	PPP conversion factor, private consumption (LCU per international $)	Real effective exchange rate index (2005 = 100)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1938266.849	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	803532294.7	1247800064	NaN	NaN	20181.14288	NaN	NaN	NaN	NaN	NaN	NaN	540558670.7	967600000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.789999962	1.79	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82755300.96	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.27875444	NaN	NaN	NaN	NaN	NaN	NaN	611300198.5	453657938	741749727.2	551367046.2	NaN	NaN	11137.82818	NaN	NaN	NaN	NaN	NaN	533981726.1	611300198.5	453657938	NaN	NaN	NaN	10790	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.74211973	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13536093.08	83136909.06	NaN	NaN	61263671.05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.59999847	487.4956086	NaN	NaN	NaN	NaN	0
2406417112	609735300.6	1116310211	263700573.3	35.40000153	279491020.6	682322127	949264720.2	28.40200043	242805976.9	539839586.5	16.15200043	362798550.3	129032637.1	3048061432	91.19799805	4413339036	867168325.5	3385795501	2514058920	635248011.5	386753023.4	25197469.04	NaN	670976187.2	NaN	1227862469	NaN	351135667.7	5027282775	NaN	NaN	-515144134.1	759307503.2	1.26576E-05	23.597435	1143016.096	7044685588	210.7769928	NaN	1664132189	7383121654	220.9029999	8007110659	1745222314	19600027806	30245787038	182.5012594	1427139190	42.70000458	356476396.8	NaN	1894794516	7461721082	6926121431	207.2295532	NaN	1628858290	18386825926	780	NaN	170.3328493	1920	1022138968	30.58239792	1786768803	-456999999.3	-13.67343998	-108025713.7	NaN	NaN	81090124.55	NaN	NaN	NaN	149572202.6	2.992E-08	2.9918E-08	1.12705E-08	0.376689346	NaN	NaN	2
333550016	NaN	698499968	NaN	4903000064	11388156928	NaN	716000000	5728000000	65030660096	NaN	NaN	NaN	NaN	987737472	7901899776	932138112.6	1.20803E+11	452887424	1278025577	1.31188E+11	NaN	32251489.38	19878335.66	192209185	8766848.09	86649023.58	NaN	425883939.7	1849521504	NaN	NaN	NaN	NaN	5.143105323	-1280	NaN	2156624896	17252999168	2913708422	3.12509E+11	2156624896	17252999168	3285045643	3.35459E+11	8513339272	13137345846	107656.5554	610800000	4886400000	NaN	NaN	NaN	2332656936	2157024896	17256199168	NaN	NaN	8514918284	750	NaN	NaN	2730	618100000	4944800000	NaN	400000	3200000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8	NaN	2.026584236	0.25332303	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	415962952.4	1527000000	NaN	3192590571	11720000000	NaN	NaN	19895668734	73037000000	NaN	NaN	16073277020	NaN	NaN	NaN	206631956.1	NaN	3640152543	NaN	4763802242	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.33755025	NaN	NaN	NaN	NaN	NaN	NaN	36384908706	1.33569E+11	51134929100	3.15486E+11	66550741166	1.02698E+11	207996.8622	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.671000004	3.671	2.007024981	0.54672432	NaN	NaN	3
8747619117	10946299904	21726666839	36590899200	4562600	36590899200	8649610240	8993333405	1888600	10233600000	30550476433	6415600	42161690986	39443800064	42030000334	8826300	61970828670	59015700480	60082857620	1.24037E+11	1.21848E+11	1289407933	497991593.4	NaN	12819594938	8437339.365	2258199828	NaN	4065055363	90856625878	1.67063E+11	NaN	2590993891	8989213629	0.011593171	NaN	NaN	1.11106E+11	23332300	1.94748E+11	1.91097E+11	1.11106E+11	23332300	2.07112E+11	2.01259E+11	1.79328E+11	2.7673E+11	6436.210479	22057143032	4632000	36929928125	2.0414E+11	1.99302E+11	1.12638E+11	1.05943E+11	22248000	1.97596E+11	1.91985E+11	1.70995E+11	3600	6319.073016	6139.637659	5470	16885809658	3546020	1.99301E+11	-5163333374	-1084300	-1084300	NaN	NaN	10161600512	NaN	NaN	NaN	-1957086275	0.00021	0.00021443	0.000130109	0.619567982	0.000105069	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
228022230	NaN	131211114.7	NaN	354270016	NaN	NaN	10837036.85	29260000	33504415.11	8529629.479	23030000	12153537.86	41451078.06	48711110.25	131520000	66013883.31	196000869.4	180255558.3	367771708.4	1031583571	6780879.756	1191557.489	NaN	34150986.46	NaN	NaN	NaN	-6350575.242	NaN	NaN	NaN	NaN	NaN	53.4818597	NaN	NaN	239803705.4	647470016	442561326.3	1240591816	286474069	773480000	514281883.7	1446247390	526647808	812695720.5	22771.96331	62970369.26	170020000	NaN	414842000	NaN	251535836.3	246474069.7	665480000	NaN	NaN	453112663.9	3960	NaN	NaN	7130	27803703.3	75070000.23	NaN	-39999999.29	-108000000	NaN	46670369.55	126010000	204869042.5	11699999.79	31590000	NaN	NaN	2.700000048	2.7	1.468685501	0.543957583	NaN	120.0631661	2
