Exports of goods and services (current US$)	Exports of goods and services (constant LCU)	Gross fixed capital formation (current US$)	Gross fixed capital formation (constant LCU)	Gross capital formation (current LCU)	Gross capital formation (constant LCU)	Imports of goods and services (constant LCU)	Agriculture, value added (current US$)	Agriculture, value added (current LCU)	Agriculture, value added (constant LCU)	Manufacturing, value added (current US$)	Manufacturing, value added (current LCU)	Manufacturing, value added (constant 2000 US$)	Manufacturing, value added (constant LCU)	Industry, value added (current US$)	Industry, value added (current LCU)	Industry, value added (constant 2000 US$)	Industry, value added (constant LCU)	Services, etc., value added (current US$)	Services, etc., value added (constant 2000 US$)	Services, etc., value added (constant LCU)	Adjusted savings: education expenditure (current US$)	Adjusted savings: carbon dioxide damage (current US$)	Adjusted savings: net forest depletion (current US$)	Adjusted savings: consumption of fixed capital (current US$)	Adjusted savings: mineral depletion (current US$)	Adjusted savings: energy depletion (current US$)	Adjusted savings: particulate emission damage (current US$)	Adjusted savings: net national savings (current US$)	Adjusted net national income (current US$)	Adjusted net national income (constant 2000 US$)	Adjusted net savings, including particulate emission damage (current US$)	Adjusted net savings, excluding particulate emission damage (current US$)	Exports as a capacity to import (constant LCU)	GDP deflator (base year varies by country)	Discrepancy in expenditure estimate of GDP (current LCU)	Discrepancy in expenditure estimate of GDP (constant LCU)	Gross value added at factor cost (current US$)	Gross value added at factor cost (current LCU)	Gross value added at factor cost (constant 2000 US$)	Gross value added at factor cost (constant LCU)	GDP (current US$)	GDP (current LCU)	GDP (constant 2000 US$)	GDP (constant LCU)	GDP, PPP (current international $)	GDP, PPP (constant 2005 international $)	GDP per capita (constant LCU)	Gross domestic savings (current US$)	Gross domestic savings (current LCU)	Gross domestic savings (constant LCU)	Gross domestic income (constant 2000 US$)	Gross domestic income (constant LCU)	GNI, Atlas method (current US$)	GNI (current US$)	GNI (current LCU)	GNI (constant 2000 US$)	GNI (constant LCU)	GNI, PPP (current international $)	GNI per capita, Atlas method (current US$)	GNI per capita (constant 2000 US$)	GNI per capita (constant LCU)	GNI per capita, PPP (current international $)	Gross savings (current US$)	Gross savings (current LCU)	Gross national income (constant LCU)	Net income from abroad (current US$)	Net income from abroad (current LCU)	Net income from abroad (constant LCU)	Net taxes on products (current US$)	Net taxes on products (current LCU)	Net taxes on products (constant LCU)	Net current transfers from abroad (current US$)	Net current transfers from abroad (current LCU)	Net current transfers from abroad (constant LCU)	Terms of trade adjustment (constant LCU)	DEC alternative conversion factor (LCU per US$)	Official exchange rate (LCU per US$, period average)	PPP conversion factor, GDP (LCU per international $)	PPP conversion factor (GDP) to market exchange rate ratio	PPP conversion factor, private consumption (LCU per international $)	Real effective exchange rate index (2005 = 100)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17082244.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.79	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3985947.432	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
2670470341	72597713078	2807635104	76326587335	1.30424E+11	76326587335	2.51079E+11	4462555832	2.07301E+11	1.50865E+11	1957737901	90943444777	NaN	59347826574	3306723827	1.53608E+11	NaN	1.11125E+11	7148011258	NaN	1.94321E+11	NaN	7795249.197	392800577.5	1349735489	NaN	NaN	121735191.4	NaN	13419671262	NaN	NaN	NaN	72597713078	170.8762366	1.62325E+11	94995918185	14917290917	6.92958E+11	NaN	4.56311E+11	17243112604	8.01E+11	NaN	4.6876E+11	41328322065	37237284183	13632.67113	-3757694874	-1.74557E+11	NaN	NaN	4.6876E+11	14259367213	15162207328	7.04335E+11	NaN	4.1219E+11	36340804708	410	NaN	11987.47528	1060	NaN	NaN	NaN	-2080905275	-96664979459	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.10352E-05	46.45333	46.452461	19.38138206	0.417222663	21.03880097	NaN	0
51400292557	3114079767	10428439636	4394474502	9.58433E+11	4394474507	5345177062	8116937632	7.45993E+11	695852568.7	5051024009	4.64218E+11	1257743857	447328156.5	49424897418	4.54243E+12	18044002084	3545430556	24929059818	5750561753	1453041887	1712948405	224299326.1	NaN	9119704646	NaN	26469095026	1376869629	3205247135	39926705301	NaN	-22022821696	-20645952067	7756470456	133107.0317	-4.99609375	-2320145858	NaN	NaN	NaN	NaN	82470894868	7.57955E+12	26125663270	5694325012	1.09528E+11	98686190453	298.4148031	26407509832	2.427E+12	6805767901	NaN	10336715700	75620684163	74299130328	6.82852E+12	NaN	4720300231	98675465036	3960	NaN	247.3704014	5170	17798053258	1.63574E+12	9362690919	-8171764540	-7.51032E+11	-974024781.1	NaN	NaN	NaN	-412800000	-37938681357	-49203256.85	4642390688	91.90572034	91.90572034	69.20175234	0.752964582	117.5937246	NaN	2
3508993945	2.1875E+11	3055913130	NaN	3.17619E+11	1.5579E+11	4.90569E+11	2036876168	2.11705E+11	NaN	1950966503	2.02776E+11	NaN	NaN	1950966503	2.02776E+11	990945367.6	1.28425E+11	6115695199	NaN	NaN	332083639.3	38028440.37	NaN	1243913729	39518876.68	253700797.5	27265255.11	198730111.4	10144419083	5874964060	313180718.2	340445973.3	2.82215E+11	196.6489277	7495629371	1.234E+11	10103537870	1.05012E+12	5268500836	5.65071E+11	11858216877	1.2325E+12	6137563946	6.26749E+11	27720149995	24544955833	195597.2768	465278514.3	48359187659	NaN	NaN	6.90214E+11	12732155848	11753670225	1.22163E+12	6064449382	6.20248E+11	27475758370	3970	1892.606705	193568.2056	8570	1583524177	1.64585E+11	6.85735E+11	-104546652.6	-10866160886	-4479132169	1754679007	1.82374E+11	61678012147	1240680000	1.28951E+11	77157460301	63465159106	103.936	103.9364434	44.4620837	0.427783287	57.8511338	NaN	1
2.31978E+11	7.35593E+11	70859089839	2.1965E+11	2.76253E+11	2.33119E+11	6.26954E+11	2611300279	9590000000	7833687306	28934786395	1.06263E+11	NaN	93459102902	1.65268E+11	6.06947E+11	NaN	5.42293E+11	1.29769E+11	NaN	4.27203E+11	NaN	1044290222	NaN	41096347320	NaN	38071300661	NaN	NaN	NaN	NaN	NaN	NaN	7.1063E+11	111.8470853	NaN	NaN	2.94729E+11	1.08239E+12	NaN	9.68315E+11	2.97648E+11	1.09311E+12	1.58409E+11	9.77329E+11	3.53095E+11	3.18142E+11	130107.7387	1.02537E+11	3.76567E+11	NaN	NaN	9.52366E+11	2.97752E+11	2.97548E+11	1.09275E+12	NaN	9.77008E+11	3.52976E+11	39640	NaN	130064.96	46990	NaN	NaN	NaN	-100000000	-367249989.5	NaN	2919809478	10723000000	9013954270	NaN	NaN	NaN	-24963152558	3.672499895	3.6725	3.095809708	0.842970673	NaN	NaN	3
80034129709	54734015837	81124698339	96409314121	3.17417E+11	96409314121	59023550053	33829797181	1.32366E+11	20518512677	69431539209	2.71665E+11	72201715919	67547339311	1.04613E+11	4.0932E+11	1.12508E+11	1.07143E+11	1.99738E+11	2.63629E+11	2.58976E+11	21552248232	1611354556	NaN	43501969888	1538174809	15983725795	5690659135	32335133270	2.97595E+11	3.64374E+11	36042945096	41733604231	69629290780	341.7561416	35468379807	2517353422	3.38181E+11	1.3232E+12	3.94024E+11	3.86637E+11	3.68711E+11	1.44266E+12	4.34406E+11	4.2213E+11	6.44196E+11	5.80427E+11	10445.56381	93315275315	3.65115E+11	1.09532E+11	NaN	4.37025E+11	3.48379E+11	3.58595E+11	1.40307E+12	4.22014E+11	4.1003E+11	6.26521E+11	8620	10442.68438	10146.15563	15500	82801368948	3.23977E+11	4.25563E+11	-10116382902	-39582371382	-11462146588	30530376183	1.19456E+11	35492848383	-183773598.6	-719050959.3	-719050959.3	14895274943	3.9127	3.896295154	2.239468182	0.572358776	1.869245227	NaN	2
1928926296	4.10463E+11	3098914397	5.57071E+11	1.16845E+12	5.59814E+11	8.4963E+11	1630833749	6.09378E+11	3.91711E+11	888277539.5	3.31914E+11	579283878.7	3.1026E+11	2995620623	1.11935E+12	1389122344	5.63401E+11	3703543252	1515428947	5.95379E+11	215528251.8	35999233.73	NaN	964243301.9	99063302.86	NaN	218229703.2	698916055.8	8646527318	3809643118	659043506.9	877273210.2	3.90533E+11	203.4746897	-1.0525E+11	-1.13831E+11	8329997624	3.11259E+12	3518803879	1.55049E+12	9371175470	3.50164E+12	4102285513	1.72092E+12	16817347221	15152619472	556559.0241	859452975.6	3.21144E+11	NaN	NaN	1.70099E+12	9893202030	9709821795	3.62818E+12	4251635747	1.78377E+12	17425075979	3200	1375.011884	576885.4822	5640	1761049300	6.58035E+11	1.81687E+12	338646324.7	1.26539E+11	1.15878E+11	1041177846	3.89047E+11	1.89154E+11	562917386.4	2.1034E+11	1.04474E+11	-19929714698	373.6604667	373.6604667	208.2158235	0.55723268	230.0562561	126.2075	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
533984210	NaN	NaN	NaN	NaN	NaN	NaN	19799800.03	53459460.08	47219175	18345348.82	49532441.81	13465703.17	45926373	197241629.3	532552399	155157633.1	460676292	772562340.1	515529219.4	1446036933	25463648.43	2908983.164	NaN	149722650.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	132.3993562	NaN	NaN	989603769.4	2671930177	697034192.7	1953932400	1153788955	3115230177	836686777.1	2352904324	1467436869	1322177165	26523.55229	NaN	NaN	NaN	NaN	NaN	1104171798	1121881547	3029080177	NaN	NaN	1426855699	12450	NaN	NaN	16080	NaN	NaN	NaN	-31907407.41	-86150000	NaN	164185185.2	443300000	398971923.1	35662972.22	96290025	NaN	NaN	2.7	2.7	2.122905757	0.786261391	2.07034227	90.55007875	2
