Exports of goods and services (current US$)	Exports of goods and services (constant LCU)	Gross fixed capital formation (current US$)	Gross fixed capital formation (constant LCU)	Gross capital formation (current LCU)	Gross capital formation (constant LCU)	Imports of goods and services (constant LCU)	Agriculture, value added (current US$)	Agriculture, value added (current LCU)	Agriculture, value added (constant LCU)	Manufacturing, value added (current US$)	Manufacturing, value added (current LCU)	Manufacturing, value added (constant 2000 US$)	Manufacturing, value added (constant LCU)	Industry, value added (current US$)	Industry, value added (current LCU)	Industry, value added (constant 2000 US$)	Industry, value added (constant LCU)	Services, etc., value added (current US$)	Services, etc., value added (constant 2000 US$)	Services, etc., value added (constant LCU)	Adjusted savings: education expenditure (current US$)	Adjusted savings: carbon dioxide damage (current US$)	Adjusted savings: net forest depletion (current US$)	Adjusted savings: consumption of fixed capital (current US$)	Adjusted savings: mineral depletion (current US$)	Adjusted savings: energy depletion (current US$)	Adjusted savings: particulate emission damage (current US$)	Adjusted savings: net national savings (current US$)	Adjusted net national income (current US$)	Adjusted net national income (constant 2000 US$)	Adjusted net savings, including particulate emission damage (current US$)	Adjusted net savings, excluding particulate emission damage (current US$)	Exports as a capacity to import (constant LCU)	GDP deflator (base year varies by country)	Discrepancy in expenditure estimate of GDP (current LCU)	Discrepancy in expenditure estimate of GDP (constant LCU)	Gross value added at factor cost (current US$)	Gross value added at factor cost (current LCU)	Gross value added at factor cost (constant 2000 US$)	Gross value added at factor cost (constant LCU)	GDP (current US$)	GDP (current LCU)	GDP (constant 2000 US$)	GDP (constant LCU)	GDP, PPP (current international $)	GDP, PPP (constant 2005 international $)	GDP per capita (constant LCU)	Gross domestic savings (current US$)	Gross domestic savings (current LCU)	Gross domestic savings (constant LCU)	Gross domestic income (constant 2000 US$)	Gross domestic income (constant LCU)	GNI, Atlas method (current US$)	GNI (current US$)	GNI (current LCU)	GNI (constant 2000 US$)	GNI (constant LCU)	GNI, PPP (current international $)	GNI per capita, Atlas method (current US$)	GNI per capita (constant 2000 US$)	GNI per capita (constant LCU)	GNI per capita, PPP (current international $)	Gross savings (current US$)	Gross savings (current LCU)	Gross national income (constant LCU)	Net income from abroad (current US$)	Net income from abroad (current LCU)	Net income from abroad (constant LCU)	Net taxes on products (current US$)	Net taxes on products (current LCU)	Net taxes on products (constant LCU)	Net current transfers from abroad (current US$)	Net current transfers from abroad (current LCU)	Net current transfers from abroad (constant LCU)	Terms of trade adjustment (constant LCU)	DEC alternative conversion factor (LCU per US$)	Official exchange rate (LCU per US$, period average)	PPP conversion factor, GDP (LCU per international $)	PPP conversion factor (GDP) to market exchange rate ratio	PPP conversion factor, private consumption (LCU per international $)	Real effective exchange rate index (2005 = 100)	Income
1724581078	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10474920.73	NaN	172625702	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	106.3120397	NaN	NaN	NaN	NaN	NaN	NaN	1531843680	2742000128	1660899494	2579200000	NaN	NaN	30286.16385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.789999962	1.79	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2592802.162	NaN	156250928.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	133.9869627	NaN	NaN	NaN	NaN	NaN	NaN	1180646037	1038925571	1043130113	775393031.1	NaN	NaN	11946.58395	NaN	NaN	NaN	NaN	NaN	1294837532	1180646037	1038925571	NaN	NaN	NaN	19950	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.879963629	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6305694.857	82546895.75	NaN	NaN	6641980	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.5	NaN	NaN	NaN	NaN	0
5234977734	NaN	1954761139	NaN	446141650.6	NaN	NaN	690942018.4	157696000	157696000	336059588.1	76700000	215655894.7	76700000	4663407332	1064345000	5416843764	1064345000	2321063239	2096516014	529744000	283347347.8	41754486.01	NaN	710077350.8	NaN	2674872109	117047045.8	109072233.9	3028197368	NaN	-2441145533	-2324098487	NaN	100	NaN	NaN	7407950903	1690741328	NaN	NaN	7675412589	1751785000	8037220379	1751785000	25621820800	30359522468	136.9412559	1986943872	453486823.1	NaN	NaN	NaN	6056258188	6413146828	1463693878	NaN	NaN	21408164953	470	NaN	NaN	1670	819258111.1	186982009.6	NaN	-1262265761	-288091122.3	-288091122.3	NaN	NaN	NaN	121628347.5	27759643.18	24192733.33	NaN	0.228233333	0.229040083	0.068370824	0.299565462	0.151493586	NaN	2
229986365.4	25823549456	369612276.8	42206392320	54107698432	46518410486	92078240496	677430152.6	99379003392	87479025664	267266540.8	39208001536	218376679.5	31672213504	376428092.4	55222001152	354772840.9	45977935872	960974870.5	1285185848	1.31923E+11	63844365.98	8732557.68	NaN	207507043.1	322443.8021	25210930.38	2324531.423	-101390721.8	2012783297	2347260041	-74105554.74	-71781023.31	26245502878	113.9431012	18186806624	2340426.518	2014833116	2.95576E+11	2474297975	2.6538E+11	2196223714	3.22186E+11	2768986763	2.8276E+11	9345491739	11073555960	91451.94253	-208052414.3	-30521289184	NaN	2734600000	2.83182E+11	2487465085	2245823714	3.29462E+11	2825716764	2.89003E+11	9556552383	800	913.9089026	93470.92873	3090	106147585.7	15571850816	NaN	49600000	7276320000	NaN	181390598.3	26610000768	17380481120	264600000	38816820000	33301764832	421953422.5	146.7	148.9329167	34.47502045	0.235003548	47.79855519	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	1579950965	5800000000	NaN	6224734398	22851000000	NaN	NaN	35815309143	1.31478E+11	NaN	NaN	41443748254	NaN	NaN	NaN	235571633.2	NaN	10900071359	NaN	9564565999	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.4352217	NaN	NaN	NaN	NaN	NaN	NaN	78839008363	2.89418E+11	91201636370	5.62684E+11	1.54583E+11	1.83166E+11	215455.0109	NaN	NaN	NaN	53781000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.671000004	3.671125	1.872254676	0.510012169	NaN	NaN	3
30834100224	27876142271	56727150592	57047499571	56727150592	57047499571	35884495974	15293015040	15293015040	13695235845	53382062080	53382062080	51977274336	48626636381	79596593152	79596593152	79211378276	75434120783	1.78203E+11	1.74242E+11	1.71166E+11	9107631659	761806759.9	NaN	36033829135	39639832.64	5243371749	4261937755	8487420740	2.45398E+11	2.39498E+11	7292873002	11554810757	29579989298	105.5570564	NaN	3375413963	2.73092E+11	2.73092E+11	2.65269E+11	2.60295E+11	2.92859E+11	2.92859E+11	2.85509E+11	2.77441E+11	3.2195E+11	3.81481E+11	7768.216972	50155356160	50155356160	50742992895	2.8592E+11	2.79145E+11	2.9057E+11	2.86715E+11	2.86715E+11	2.79521E+11	2.71584E+11	3.15195E+11	8140	7826.448957	7604.2104	8830	44525826575	44525826575	2.73001E+11	-6144376294	-6144376294	-6144376294	19766671360	19766671360	17145901972	514857571.8	514857571.8	514857571.8	1703847028	1	0.9995	0.909642117	0.909642117	1.029830274	NaN	2
332378724	1.43677E+11	265666523.3	1.20737E+11	1.53351E+11	1.38821E+11	4.13152E+11	482227868.2	2.36581E+11	2.19716E+11	368238878	1.80658E+11	292976672.5	1.56916E+11	500799028.4	2.45692E+11	511593690	2.07493E+11	525411696.7	510926273.2	2.00732E+11	31955150.89	18543721.06	NaN	236392169.9	5661726.928	NaN	44633782.14	-231020579.6	1496038528	1495406119	-267904658.8	-223270876.7	1.43733E+11	117.7359945	35878010880	28750182400	1508438593	7.4004E+11	1425096068	6.2794E+11	1639492424	8.04335E+11	1628518751	6.83168E+11	5076561481	6015262675	217927.9238	-310448409.7	-1.52306E+11	NaN	1628700000	6.83224E+11	1747584373	1738092424	8.52708E+11	1727291647	7.24684E+11	5381868754	560	550.9990466	231171.3479	1720	5371590.328	2635302248	NaN	98600000	48373160602	NaN	131053806	64294998016	55227998208	217200000	1.06558E+11	91362517950	55886116.69	490.6000061	490.8467858	158.4409046	0.322953328	187.1911005	93.80333333	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
443288881.1	NaN	227633329.3	NaN	614610000	NaN	NaN	20014814.46	54040000	41334827.12	10807407.22	29180000	11874647.07	40499888.03	88551850.29	239090000	92761107.57	275415667.4	378788870.3	527483410.8	1479567918	20605304.01	1908302.391	NaN	71193737.97	NaN	NaN	NaN	109056464	NaN	NaN	NaN	NaN	NaN	76.53081548	-32	NaN	487355535.1	1315859968	628541490	1761933052	579851829.8	1565599968	727449920.1	2045711859	970163431.4	1149555245	28286.1627	192633329.9	520110000	NaN	586792000	NaN	550676139.6	557696274.6	1505779968	NaN	NaN	933094462.6	7610	NaN	NaN	12900	180259256.2	486700000.5	NaN	-22155555.16	-59820000	NaN	92496294.66	249740000	283744790.8	9781481.309	26410000	NaN	NaN	2.700000048	2.7	1.613748692	0.59768469	NaN	102.3891468	2
