Time required to build a warehouse (days)	Procedures to build a warehouse (number)	Investment in energy with private participation (current US$)	Investment in telecoms with private participation (current US$)	Investment in transport with private participation (current US$)	Investment in water and sanitation with private participation (current US$)	Scientific and technical journal articles	Patent applications, nonresidents	Patent applications, residents	Trademark applications, aggregate direct	Trademark applications, Madrid	Trademark applications, direct nonresident	Trademark applications, direct resident	Trademark applications, total	CPIA business regulatory environment rating (1=low to 6=high)	CPIA debt policy rating (1=low to 6=high)	CPIA economic management cluster average (1=low to 6=high)	CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)	CPIA quality of budgetary and financial management rating (1=low to 6=high)	CPIA financial sector rating (1=low to 6=high)	CPIA fiscal policy rating (1=low to 6=high)	CPIA gender equality rating (1=low to 6=high)	CPIA building human resources rating (1=low to 6=high)	IDA resource allocation index (1=low to 6=high)	CPIA macroeconomic management rating (1=low to 6=high)	CPIA quality of public administration rating (1=low to 6=high)	CPIA equity of public resource use rating (1=low to 6=high)	CPIA property rights and rule-based governance rating (1=low to 6=high)	CPIA social protection rating (1=low to 6=high)	CPIA public sector management and institutions cluster average (1=low to 6=high)	CPIA efficiency of revenue mobilization rating (1=low to 6=high)	CPIA policies for social inclusion/equity cluster average (1=low to 6=high)	CPIA structural policies cluster average (1=low to 6=high)	CPIA trade rating (1=low to 6=high)	CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)	Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)	Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)	Air transport, registered carrier departures worldwide	Air transport, freight (million ton-km)	Air transport, passengers carried	Road sector diesel fuel consumption (kt of oil equivalent)	Road sector diesel fuel consumption per capita (kg of oil equivalent)	Road density (km of road per 100 sq. km of land area)	Road sector energy consumption (kt of oil equivalent)	Road sector energy consumption per capita (kg of oil equivalent)	Road sector energy consumption (% of total energy consumption)	Roads, goods transported (million ton-km)	Roads, paved (% of total roads)	Roads, passengers carried (million passenger-km)	Road sector gasoline fuel consumption (kt of oil equivalent)	Road sector gasoline fuel consumption per capita (kg of oil equivalent)	Roads, total network (km)	Railways, goods transported (million ton-km)	Railways, passengers carried (million passenger-km)	Rail lines (total route-km)	Liner shipping connectivity index (maximum value in 2004 = 100)	Container port traffic (TEU: 20 foot equivalent units)	Motor vehicles (per 1,000 people)	Passenger cars (per 1,000 people)	Vehicles (per km of road)	Mobile cellular subscriptions	Mobile cellular subscriptions (per 100 people)	Telephone lines	Telephone lines (per 100 people)	Fixed broadband Internet subscribers	Fixed broadband Internet subscribers (per 100 people)	Secure Internet servers	Secure Internet servers (per 1 million people)	Internet users	Internet users (per 100 people)	Daily newspapers (per 1,000 people)	Lead time to export, median case (days)	Lead time to import, median case (days)	Logistics performance index: Efficiency of customs clearance process (1=low to 5=high)	Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high)	Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high)	Logistics performance index: Competence and quality of logistics services (1=low to 5=high)	Logistics performance index: Overall (1=low to 5=high)	Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high)	Logistics performance index: Ability to track and trace consignments (1=low to 5=high)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.089010648	135000	NaN	NaN	NaN	113586	108.9815303	38609	37.04389542	15996	15.34756536	39	374.1904533	32205.525	30.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	2.7	NaN	NaN	NaN	NaN	812	259	1071	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63503	78.02309866	37153	45.64811402	18526	22.76201007	37	454.6013024	57681.093	70.87	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
334	12	NaN	240000000	NaN	NaN	3.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.5	3	3.166666667	2	3	2	3	2	3	2.5	3.5	2	2.5	1.5	2	2.2	2.5	2.3	2.333333333	2.5	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25	18	NaN	4668096	16.0163366	81249	0.278767046	500	0.001715511	6	0.189739321	553770.979	1.751202161	NaN	8.1	20.7	1.3	1.1	1.22	1.25	1.21	1.38	1	0
321	13	0	198000000	53000000	NaN	3.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	3	3	3	2.5	2.5	3	3	2.5	2.733333333	3	2.5	2.5	2	2.5	2.4	2.5	2.7	2.833333333	4	2.5	NaN	NaN	5277	72.888	277361	467	26.64708819	NaN	913	52.09591331	8.599407121	NaN	NaN	NaN	402	22.9381787	NaN	NaN	NaN	NaN	9.900112296	NaN	38	NaN	NaN	4961536	28.31059686	94294	0.538042941	11700	0.066760371	18	1.027082628	560811.744	3.2	NaN	7.9	10.6	2.4	2.25	2.5	2.5	2.48	2.83	2.38	2
331	23	NaN	236000000	NaN	NaN	12.3	NaN	NaN	NaN	3271	744	148	4163	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.985507246	2.072166235	4930	0.107	238913	483	152.3820341	NaN	631	199.0746656	29.66802375	NaN	NaN	NaN	133	41.96027025	NaN	53	51	423	2.279235908	33127	107	76	NaN	2322436	73.27070842	300000	9.464722613	10000	0.315490754	8	2.52392603	476594.4875	15.03611541	NaN	NaN	NaN	2	2.33	2.33	2	2.08	2.13	1.67	1
80	19	NaN	NaN	NaN	NaN	214	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.592105263	5.990677365	NaN	NaN	NaN	4183	773.8355883	NaN	8149	1507.527184	15.76636816	NaN	NaN	NaN	3573	660.9884191	NaN	NaN	NaN	NaN	48.2068968	13182412	313	293	NaN	7731508	143.0293101	1385523	25.63153253	379800	7.02612375	417	77.14306487	3297380.01	61	NaN	3.5	4.1	3.52	3.8	3.68	3.67	3.73	4.12	3.61	3
367	25	489000000	1111200000	728700000	NaN	3364.1	4806	937	58389	NaN	NaN	NaN	58389	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.869047619	3.201289819	79465	132.675	7036784	6794	172.5764227	NaN	13128	333.4682481	17.8588834	NaN	NaN	NaN	3645	92.58773342	NaN	12871	NaN	35753	25.63036234	1874259	314	NaN	NaN	40401771	102.6257449	9500000	24.13123368	2600000	6.604337638	615	15.62179864	10214687.58	25.94663294	NaN	3	4.1	2.65	2.81	2.97	3	2.98	3.5	3	2
148	19	37000000	104000000	10000000	0	174.8	5	135	NaN	3224	594	883	4701	4	6	5.5	3.5	4	3.5	5	4.5	4	4.35	5.5	4	4.5	3.5	4.5	3.7	3.5	4.2	4	4.5	3.5	2.583333333	2.815789474	5975	6.148	560626	0	0	25	262	85.22595124	9.208090186	132.9	89.04	2693.4	169	54.97399145	7515	NaN	NaN	NaN	NaN	NaN	103	94	42	1876411	61.03775282	624700	20.32085944	3900	0.126863057	13	4.228768573	185104.2279	6.021253397	NaN	NaN	NaN	2.1	1.78	2	2.11	2.14	2.63	2.22	1
NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.27623889	NaN	NaN	NaN	NaN	NaN	NaN	10400	15.96806387	NaN	NaN	4	61.41563028	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
134	10	NaN	NaN	NaN	NaN	0.8	NaN	NaN	NaN	1031	NaN	NaN	1031	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27746	0.186	800207	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.756091048	34081	NaN	NaN	NaN	112381	130.7744225	37900	44.10310118	2266	2.636876709	68	791.2957468	60206.061	70.06	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
