Time required to build a warehouse (days)	Procedures to build a warehouse (number)	Investment in energy with private participation (current US$)	Investment in telecoms with private participation (current US$)	Investment in transport with private participation (current US$)	Investment in water and sanitation with private participation (current US$)	Scientific and technical journal articles	Patent applications, nonresidents	Patent applications, residents	Trademark applications, aggregate direct	Trademark applications, Madrid	Trademark applications, direct nonresident	Trademark applications, direct resident	Trademark applications, total	CPIA business regulatory environment rating (1=low to 6=high)	CPIA debt policy rating (1=low to 6=high)	CPIA economic management cluster average (1=low to 6=high)	CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)	CPIA quality of budgetary and financial management rating (1=low to 6=high)	CPIA financial sector rating (1=low to 6=high)	CPIA fiscal policy rating (1=low to 6=high)	CPIA gender equality rating (1=low to 6=high)	CPIA building human resources rating (1=low to 6=high)	IDA resource allocation index (1=low to 6=high)	CPIA macroeconomic management rating (1=low to 6=high)	CPIA quality of public administration rating (1=low to 6=high)	CPIA equity of public resource use rating (1=low to 6=high)	CPIA property rights and rule-based governance rating (1=low to 6=high)	CPIA social protection rating (1=low to 6=high)	CPIA public sector management and institutions cluster average (1=low to 6=high)	CPIA efficiency of revenue mobilization rating (1=low to 6=high)	CPIA policies for social inclusion/equity cluster average (1=low to 6=high)	CPIA structural policies cluster average (1=low to 6=high)	CPIA trade rating (1=low to 6=high)	CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)	Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)	Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)	Air transport, registered carrier departures worldwide	Air transport, freight (million ton-km)	Air transport, passengers carried	Road sector diesel fuel consumption (kt of oil equivalent)	Road sector diesel fuel consumption per capita (kg of oil equivalent)	Road density (km of road per 100 sq. km of land area)	Road sector energy consumption (kt of oil equivalent)	Road sector energy consumption per capita (kg of oil equivalent)	Road sector energy consumption (% of total energy consumption)	Roads, goods transported (million ton-km)	Roads, paved (% of total roads)	Roads, passengers carried (million passenger-km)	Road sector gasoline fuel consumption (kt of oil equivalent)	Road sector gasoline fuel consumption per capita (kg of oil equivalent)	Roads, total network (km)	Railways, goods transported (million ton-km)	Railways, passengers carried (million passenger-km)	Rail lines (total route-km)	Liner shipping connectivity index (maximum value in 2004 = 100)	Container port traffic (TEU: 20 foot equivalent units)	Motor vehicles (per 1,000 people)	Passenger cars (per 1,000 people)	Vehicles (per km of road)	Mobile cellular subscriptions	Mobile cellular subscriptions (per 100 people)	Telephone lines	Telephone lines (per 100 people)	Fixed broadband Internet subscribers	Fixed broadband Internet subscribers (per 100 people)	Secure Internet servers	Secure Internet servers (per 1 million people)	Internet users	Internet users (per 100 people)	Daily newspapers (per 1,000 people)	Lead time to export, median case (days)	Lead time to import, median case (days)	Logistics performance index: Efficiency of customs clearance process (1=low to 5=high)	Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high)	Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high)	Logistics performance index: Competence and quality of logistics services (1=low to 5=high)	Logistics performance index: Overall (1=low to 5=high)	Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high)	Logistics performance index: Ability to track and trace consignments (1=low to 5=high)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.529136342	NaN	NaN	NaN	NaN	109030	106.1522135	38651	37.63082825	13953	13.58471829	36	350.4979992	28759.08	28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	1.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69004	86.39106593	36507	45.70573654	14616	18.29882064	35	438.1901495	39087.81717	48.936847	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
334	12	NaN	555400000	NaN	NaN	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.5	3	3.333333333	2	3	2	3	2	3	2.608333333	4	2	2.5	1.5	2	2.3	2.5	2.3	2.5	3	2.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	NaN	29.3	NaN	NaN	NaN	42150	NaN	NaN	NaN	NaN	NaN	17	11	11	2520366	8.867978979	90000	0.316667543	500	0.001759264	2	0.065037137	598865.0634	1.947423469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
321	13	9400000	250000000	NaN	NaN	2.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	2	2.666666667	3	2.5	2.5	3	3	2.5	2.65	3	2.5	2.5	2	2.5	2.4	2.5	2.7	2.833333333	4	2.5	NaN	NaN	4965	80.997	262666	454	26.68960797	NaN	802	47.14772157	8.112838456	NaN	NaN	NaN	311	18.28296934	NaN	NaN	NaN	NaN	9.460267568	NaN	NaN	NaN	NaN	3054620	17.95740315	98165	0.577089288	7458	0.043843854	6	0.352726097	324497.823	1.907647507	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
332	23	NaN	31000000	NaN	0	10.2	NaN	NaN	NaN	2890	809	186	3885	3.5	4	4	3	4	4	3.5	4	3.5	3.741666667	4.5	3	3.5	3	NaN	3.3	4	3.5	4.166666667	5	2.5	NaN	NaN	4481	0.105	213315	393	124.5007693	NaN	580	183.7415934	27.02695146	NaN	NaN	NaN	171	54.17209048	NaN	36	80	423	0.404675108	NaN	99	72	NaN	1909885	60.50436434	256000	8.109973779	NaN	NaN	5	1.583979254	303349.6586	9.609991316	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
80	19	NaN	NaN	NaN	NaN	229.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4000	857.8668968	NaN	7754	1662.974979	17.04364091	NaN	NaN	NaN	3380	724.8975278	NaN	NaN	NaN	NaN	46.70457862	10967048	272	255	NaN	5519293	118.370469	1309683	28.08834228	240620	5.160498318	252	54.0456145	2424618.56	52	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
367	25	1928000000	1023000000	337000000	NaN	3264	4597	1020	NaN	NaN	18362	60777	79139	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74162	124.583	6611915	6913	177.1480774	NaN	12864	329.6445635	17.62581094	NaN	NaN	NaN	3126	80.10485895	NaN	12628	NaN	35753	25.58319877	1757990	NaN	NaN	NaN	31510390	80.74649221	9459794	24.24105771	1583713	4.058320745	465	11.91578996	8166599.958	20.9272021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
148	19	220000000	0	NaN	0	179.5	1	192	NaN	2807	503	937	4247	4	5.5	5.333333333	3.5	4	3.5	5	4.5	4	4.308333333	5.5	4	4.5	3.5	4.5	3.7	3.5	4.2	4	4.5	3.5	NaN	NaN	6177	7.388	605817	0	0	25	241	78.50561788	9.465274813	91.2	88.97899628	2559.7	172	56.0289057	7504	354	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1259762	41.03667809	603900	19.67200939	NaN	NaN	8	2.605995614	172887.0992	5.631787777	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.861675844	NaN	NaN	NaN	NaN	NaN	NaN	10400	16.23858225	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
134	10	NaN	6000000	NaN	NaN	0.3	NaN	NaN	NaN	994	NaN	NaN	994	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26175	0.182	754912	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.430496524	NaN	NaN	NaN	NaN	110177	129.6932385	37500	44.14257463	1541	1.813965533	90	1059.421791	53212.97216	62.63886919	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
